t, T
0, 47.6
30, 47.2
60, 46.9
90, 46.6
120, 46.1
150, 46.0
180, 45.7
190, 35.4
200, 35.0
210, 35.0
220, 35.1
230, 35.2
240, 35.2
250, 35.2
280, 35.2
310, 35.2
340, 35.1
370, 35.1
