Winkel/°, p-Spannung/mV, s-Spannung/mV
0, 94.5, 105.5
5, 96.0, 105.4
10, 98.0, 105.0
15, 98.7, 104.0
20, 99.5, 102.7
25, 100.6, 101.3
30, 101.6, 99.1
35, 103.6, 96.7
40, 109.7, 93.6
45, 110.1, 89.6
50, 112.5, 85.4
51, 113.6, 84.5
52, 114.0, 82.7
53, 114.2, 84.4
54, 114.3, 84.2
55, 114.4, 82.0
56, 114.3, 81.2
57, 112.9, 80.6
58, 112.1, 79.4
59, 111.6, 77.6
60, 110.7, 76.0
65, 106.6, 66.2
70, 99.0, 54.2
75, 84.4, 39.1
80, 60.3, 22.4
85, 6.0, 1.6
