#multi:
;Hantel A;;;;;;;Hantel B;;;;;;;Masse C;;;;;;;
t;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;
0,000;2,124E-2;2,124E-2;;;;;;-4,453E-2;2,192E-2;;;;;;3,631E-2;-0,224;;;;;
0,017;2,123E-2;2,105E-2;2,213E-3;-7,670E-3;4,117E-5;-1,427E-4;5,926E-7;-4,452E-2;2,190E-2;1,344E-3;-1,612E-3;2,500E-5;-2,998E-5;4,097E-8;3,588E-2;-0,211;-2,578E-2;0,781;-4,749E-4;1,438E-2;5,619E-3
0,033;2,131E-2;2,098E-2;2,162E-3;-6,030E-3;4,021E-5;-1,122E-4;3,816E-7;-4,449E-2;2,187E-2;6,908E-4;-1,717E-3;1,285E-5;-3,194E-5;3,186E-8;3,545E-2;-0,198;-2,846E-2;0,778;-5,242E-4;1,434E-2;5,586E-3
0,050;2,130E-2;2,084E-2;3,086E-3;-2,161E-2;5,740E-5;-4,020E-4;4,433E-6;-4,450E-2;2,184E-2;1,965E-3;-4,275E-3;3,655E-5;-7,952E-5;2,059E-7;3,493E-2;-0,185;-4,576E-2;1,159;-8,428E-4;2,135E-2;1,239E-2
0,067;2,142E-2;2,026E-2;3,039E-3;-2,217E-2;5,652E-5;-4,124E-4;4,658E-6;-4,442E-2;2,173E-2;1,365E-3;-5,411E-3;2,539E-5;-1,006E-4;2,897E-7;3,393E-2;-0,159;-4,334E-2;1,164;-7,983E-4;2,145E-2;1,250E-2
0,083;2,140E-2;2,011E-2;6,800E-4;-1,119E-2;1,265E-5;-2,080E-4;1,168E-6;-4,445E-2;2,166E-2;-2,114E-3;-2,867E-3;-3,933E-5;-5,333E-5;1,180E-7;3,349E-2;-0,146;-2,713E-2;0,776;-4,998E-4;1,430E-2;5,557E-3
0,100;2,144E-2;1,989E-2;2,210E-3;-1,571E-2;4,112E-5;-2,922E-4;2,340E-6;-4,449E-2;2,163E-2;-9,343E-4;-1,694E-3;-1,738E-5;-3,150E-5;3,480E-8;3,302E-2;-0,134;-2,090E-2;0,778;-3,850E-4;1,434E-2;5,585E-3
0,117;2,148E-2;1,958E-2;2,355E-3;-2,488E-2;4,381E-5;-4,628E-4;5,808E-6;-4,448E-2;2,160E-2;2,664E-3;-9,430E-3;4,956E-5;-1,754E-4;8,931E-7;3,279E-2;-0,121;-4,042E-2;1,156;-7,445E-4;2,128E-2;1,231E-2
0,133;2,152E-2;1,906E-2;1,756E-4;-2,480E-2;3,266E-6;-4,612E-4;5,719E-6;-4,441E-2;2,132E-2;2,533E-3;-1,802E-2;4,711E-5;-3,352E-4;3,080E-6;3,168E-2;-9,500E-2;-5,084E-2;1,159;-9,365E-4;2,135E-2;1,239E-2
0,150;2,148E-2;1,876E-2;-1,659E-3;-1,417E-2;-3,085E-5;-2,635E-4;1,892E-6;-4,440E-2;2,100E-2;5,240E-4;-1,275E-2;9,747E-6;-2,371E-4;1,514E-6;3,110E-2;-8,189E-2;-3,048E-2;0,778;-5,614E-4;1,432E-2;5,577E-3
0,167;2,146E-2;1,859E-2;6,369E-5;-2,163E-2;1,185E-6;-4,023E-4;4,350E-6;-4,439E-2;2,089E-2;1,476E-3;-1,309E-2;2,746E-5;-2,434E-4;1,613E-6;3,066E-2;-6,908E-2;-3,960E-2;1,154;-7,293E-4;2,126E-2;1,229E-2
0,183;2,148E-2;1,803E-2;-1,068E-3;-2,232E-2;-1,987E-5;-4,152E-4;4,645E-6;-4,435E-2;2,057E-2;-1,553E-3;-1,563E-2;-2,888E-5;-2,907E-4;2,294E-6;2,978E-2;-4,341E-2;-3,582E-2;1,156;-6,598E-4;2,129E-2;1,232E-2
0,200;2,143E-2;1,784E-2;-1,653E-2;0,132;-3,074E-4;2,463E-3;1,656E-4;-4,444E-2;2,037E-2;-4,740E-3;-3,292E-3;-8,817E-5;-6,123E-5;3,098E-7;2,947E-2;-3,055E-2;-4,426E-5;0,610;-8,153E-7;1,123E-2;3,424E-3
