#multi:
;Masse A;;;;;;;Masse B;;;;;;;
t;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;
0,000;-4,643E-2;-0,173;;;;;;-3,960E-2;2,253E-2;;;;;
0,017;-4,828E-2;-0,150;-9,425E-2;1,057;-8,775E-4;9,839E-3;5,241E-3;-3,968E-2;2,254E-2;-3,345E-3;-3,009E-3;-6,161E-5;-5,542E-5;1,864E-7
0,033;-4,957E-2;-0,138;-7,388E-2;0,700;-6,878E-4;6,513E-3;2,303E-3;-3,971E-2;2,243E-2;-2,060E-3;-3,892E-3;-3,795E-5;-7,170E-5;1,786E-7
0,050;-5,074E-2;-0,127;-9,955E-2;1,032;-9,269E-4;9,606E-3;5,002E-3;-3,975E-2;2,241E-2;-4,270E-3;-5,717E-3;-7,866E-5;-1,053E-4;4,690E-7
0,067;-5,289E-2;-0,104;-9,870E-2;1,045;-9,189E-4;9,726E-3;5,126E-3;-3,985E-2;2,224E-2;-5,082E-3;-4,968E-3;-9,361E-5;-9,151E-5;4,652E-7
0,083;-5,403E-2;-9,200E-2;-7,368E-2;0,708;-6,860E-4;6,594E-3;2,361E-3;-3,992E-2;2,224E-2;-8,295E-3;-5,953E-3;-1,528E-4;-1,097E-4;9,601E-7
0,100;-5,534E-2;-8,019E-2;-9,879E-2;1,057;-9,197E-4;9,843E-3;5,248E-3;-4,013E-2;2,204E-2;-1,239E-2;-1,422E-2;-2,283E-4;-2,619E-4;3,277E-6
0,117;-5,733E-2;-5,676E-2;-9,525E-2;1,043;-8,868E-4;9,714E-3;5,110E-3;-4,033E-2;2,177E-2;-1,196E-2;-1,526E-2;-2,203E-4;-2,810E-4;3,462E-6
0,133;-5,852E-2;-4,541E-2;-6,707E-2;0,687;-6,244E-4;6,400E-3;2,221E-3;-4,053E-2;2,153E-2;-5,317E-3;-7,292E-3;-9,794E-5;-1,343E-4;7,502E-7
0,150;-5,956E-2;-3,385E-2;-0,114;0,983;-1,057E-3;9,154E-3;4,561E-3;-4,051E-2;2,152E-2;4,510E-3;1,833E-3;8,308E-5;3,376E-5;2,183E-7
0,167;-6,230E-2;-1,263E-2;-0,279;0,707;-2,596E-3;6,582E-3;2,688E-3;-4,038E-2;2,159E-2;7,894E-2;0,153;1,454E-3;2,824E-3;2,739E-4
0,183;-6,885E-2;-1,029E-2;-0,396;0,111;-3,684E-3;1,033E-3;7,861E-4;-3,788E-2;2,663E-2;0,154;0,303;2,830E-3;5,575E-3;1,061E-3
0,200;-7,549E-2;-8,933E-3;-0,599;0,100;-5,577E-3;9,320E-4;1,717E-3;-3,526E-2;3,168E-2;0,246;0,456;4,530E-3;8,400E-3;2,472E-3
0,217;-8,882E-2;-6,948E-3;-0,600;8,431E-2;-5,582E-3;7,850E-4;1,706E-3;-2,968E-2;4,183E-2;0,245;0,455;4,515E-3;8,386E-3;2,462E-3
0,233;-9,548E-2;-6,123E-3;-0,398;4,295E-2;-3,702E-3;3,999E-4;7,445E-4;-2,709E-2;4,686E-2;0,158;0,308;2,909E-3;5,670E-3;1,103E-3
0,250;-0,102;-5,517E-3;-0,595;7,830E-2;-5,538E-3;7,289E-4;1,676E-3;-2,442E-2;5,210E-2;0,248;0,461;4,560E-3;8,484E-3;2,518E-3
0,267;-0,115;-3,513E-3;-0,596;8,741E-2;-5,551E-3;8,137E-4;1,690E-3;-1,883E-2;6,221E-2;0,249;0,462;4,585E-3;8,509E-3;2,536E-3
0,283;-0,122;-2,603E-3;-0,393;5,692E-2;-3,655E-3;5,299E-4;7,327E-4;-1,612E-2;6,749E-2;0,163;0,304;2,994E-3;5,593E-3;1,092E-3
0,300;-0,128;-1,616E-3;-0,394;5,488E-2;-3,665E-3;5,109E-4;7,352E-4;-1,342E-2;7,233E-2;0,162;0,303;2,976E-3;5,578E-3;1,085E-3
