#multi:
;Hantel A-18.6g;;;;;;;Hantel B;;;;;;;
t;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;
0,000;0,302;-0,167;;;;;;0,329;-0,109;;;;;
0,017;0,285;-0,155;-0,743;0,524;-1,383E-2;9,743E-3;7,692E-3;0,325;-0,104;-0,207;0,188;-3,843E-3;3,501E-3;7,265E-4
0,033;0,277;-0,149;-0,469;0,384;-8,727E-3;7,143E-3;3,419E-3;0,322;-0,102;-0,161;9,556E-2;-2,997E-3;1,777E-3;3,264E-4
0,050;0,269;-0,142;-0,452;0,398;-8,412E-3;7,405E-3;3,376E-3;0,319;-0,101;-0,180;8,065E-2;-3,346E-3;1,500E-3;3,615E-4
0,067;0,262;-0,136;-0,633;0,623;-1,178E-2;1,159E-2;7,342E-3;0,316;-9,981E-2;-0,315;8,743E-2;-5,859E-3;1,626E-3;9,938E-4
0,083;0,248;-0,122;-0,603;0,639;-1,122E-2;1,188E-2;7,181E-3;0,309;-9,821E-2;-0,348;6,104E-2;-6,471E-3;1,135E-3;1,160E-3
0,100;0,242;-0,115;-0,373;0,445;-6,941E-3;8,268E-3;3,133E-3;0,305;-9,778E-2;-0,272;3,459E-2;-5,053E-3;6,433E-4;6,975E-4
0,117;0,236;-0,107;-0,500;0,673;-9,293E-3;1,252E-2;6,532E-3;0,300;-9,706E-2;-0,457;4,169E-2;-8,496E-3;7,755E-4;1,957E-3
0,133;0,225;-9,210E-2;-0,464;0,671;-8,629E-3;1,248E-2;6,191E-3;0,289;-9,639E-2;-0,489;3,218E-2;-9,101E-3;5,986E-4;2,236E-3
0,150;0,220;-8,453E-2;-0,274;0,443;-5,095E-3;8,243E-3;2,525E-3;0,283;-9,598E-2;-0,365;3,265E-2;-6,792E-3;6,073E-4;1,250E-3
0,167;0,216;-7,733E-2;-0,359;0,639;-6,684E-3;1,189E-2;5,002E-3;0,277;-9,530E-2;-0,600;5,798E-2;-1,117E-2;1,078E-3;3,384E-3
0,183;0,209;-6,322E-2;-0,332;0,628;-6,170E-3;1,168E-2;4,689E-3;0,263;-9,405E-2;-0,634;6,366E-2;-1,179E-2;1,184E-3;3,773E-3
0,200;0,205;-5,641E-2;-0,192;0,402;-3,572E-3;7,476E-3;1,845E-3;0,256;-9,318E-2;-0,453;5,859E-2;-8,417E-3;1,090E-3;1,936E-3
0,217;0,202;-4,982E-2;-0,175;0,386;-3,262E-3;7,171E-3;1,668E-3;0,248;-9,210E-2;-0,468;7,904E-2;-8,714E-3;1,470E-3;2,099E-3
0,233;0,199;-4,355E-2;-0,235;0,536;-4,367E-3;9,972E-3;3,186E-3;0,240;-9,054E-2;-0,741;0,163;-1,378E-2;3,027E-3;5,350E-3
0,250;0,194;-3,195E-2;-0,210;0,507;-3,911E-3;9,424E-3;2,798E-3;0,224;-8,667E-2;-0,755;0,192;-1,405E-2;3,567E-3;5,649E-3
0,267;0,192;-2,667E-2;-0,181;0,432;-3,367E-3;8,042E-3;2,043E-3;0,215;-8,415E-2;-0,780;0,250;-1,452E-2;4,649E-3;6,245E-3
0,283;0,188;-1,754E-2;-0,173;0,400;-3,221E-3;7,443E-3;1,768E-3;0,198;-7,834E-2;-0,797;0,279;-1,482E-2;5,185E-3;6,627E-3
0,300;0,186;-1,333E-2;-0,116;0,233;-2,165E-3;4,331E-3;6,302E-4;0,189;-7,486E-2;-0,532;0,220;-9,894E-3;4,090E-3;3,081E-3
0,317;0,184;-9,777E-3;-0,181;0,291;-3,373E-3;5,407E-3;1,092E-3;0,180;-7,101E-2;-0,802;0,384;-1,492E-2;7,139E-3;7,358E-3
0,333;0,180;-3,638E-3;-0,185;0,257;-3,437E-3;4,779E-3;9,314E-4;0,162;-6,206E-2;-0,810;0,420;-1,507E-2;7,818E-3;7,747E-3
0,350;0,178;-1,213E-3;-0,213;0,192;-3,961E-3;3,578E-3;7,659E-4;0,153;-5,700E-2;-0,775;0,488;-1,441E-2;9,080E-3;7,799E-3
0,367;0,173;2,773E-3;-0,235;0,165;-4,369E-3;3,078E-3;7,679E-4;0,136;-4,579E-2;-0,749;0,516;-1,393E-2;9,598E-3;7,693E-3
0,383;0,170;4,303E-3;-0,281;0,111;-5,220E-3;2,067E-3;8,473E-4;0,128;-3,980E-2;-0,710;0,566;-1,321E-2;1,052E-2;7,664E-3
0,400;0,164;6,478E-3;-0,309;8,667E-2;-5,742E-3;1,612E-3;9,563E-4;0,112;-2,694E-2;-0,691;0,590;-1,285E-2;1,097E-2;7,672E-3
0,417;0,160;7,192E-3;-0,372;5,063E-2;-6,921E-3;9,418E-4;1,311E-3;0,105;-2,014E-2;-0,626;0,626;-1,164E-2;1,165E-2;7,291E-3
0,433;0,152;8,166E-3;-0,403;3,769E-2;-7,503E-3;7,010E-4;1,526E-3;9,157E-2;-6,066E-3;-0,591;0,643;-1,100E-2;1,196E-2;7,096E-3
0,450;0,147;8,449E-3;-0,301;1,150E-2;-5,598E-3;2,138E-4;8,437E-4;8,522E-2;1,292E-3;-0,369;0,429;-6,871E-3;7,985E-3;2,983E-3
0,467;0,141;8,549E-3;-0,506;1,450E-2;-9,414E-3;2,696E-4;2,384E-3;7,926E-2;8,243E-3;-0,495;0,642;-9,209E-3;1,194E-2;6,112E-3
0,483;0,130;8,932E-3;-0,540;2,179E-2;-1,005E-2;4,054E-4;2,717E-3;6,871E-2;2,269E-2;-0,454;0,645;-8,442E-3;1,200E-2;5,785E-3
0,500;0,123;9,276E-3;-0,398;2,231E-2;-7,395E-3;4,150E-4;1,475E-3;6,413E-2;2,974E-2;-0,269;0,426;-4,995E-3;7,914E-3;2,354E-3
0,517;0,117;9,676E-3;-0,651;4,961E-2;-1,211E-2;9,227E-4;3,965E-3;5,976E-2;3,687E-2;-0,358;0,612;-6,659E-3;1,137E-2;4,669E-3
0,533;0,102;1,093E-2;-0,681;6,615E-2;-1,267E-2;1,230E-3;4,356E-3;5,219E-2;5,013E-2;-0,329;0,591;-6,125E-3;1,100E-2;4,260E-3
0,550;9,381E-2;1,188E-2;-0,480;6,853E-2;-8,934E-3;1,275E-3;2,189E-3;4,879E-2;5,658E-2;-0,192;0,383;-3,578E-3;7,123E-3;1,708E-3
0,567;8,576E-2;1,321E-2;-0,754;0,142;-1,402E-2;2,635E-3;5,471E-3;4,578E-2;6,289E-2;-0,253;0,520;-4,713E-3;9,681E-3;3,116E-3
0,583;6,869E-2;1,660E-2;-0,777;0,166;-1,445E-2;3,092E-3;5,873E-3;4,034E-2;7,393E-2;-0,232;0,491;-4,314E-3;9,141E-3;2,747E-3
0,600;5,986E-2;1,876E-2;-0,807;0,231;-1,501E-2;4,293E-3;6,550E-3;3,805E-2;7,927E-2;-0,201;0,433;-3,730E-3;8,049E-3;2,116E-3
0,617;4,179E-2;2,430E-2;-0,814;0,266;-1,514E-2;4,944E-3;6,818E-3;3,366E-2;8,835E-2;-0,197;0,392;-3,671E-3;7,284E-3;1,789E-3
0,633;3,273E-2;2,762E-2;-0,817;0,333;-1,520E-2;6,191E-3;7,244E-3;3,147E-2;9,233E-2;-0,196;0,323;-3,639E-3;6,005E-3;1,325E-3
0,650;1,455E-2;3,539E-2;-0,821;0,365;-1,527E-2;6,798E-3;7,508E-3;2,713E-2;9,912E-2;-0,193;0,286;-3,594E-3;5,314E-3;1,106E-3
0,667;5,366E-3;3,980E-2;-0,544;0,277;-1,012E-2;5,152E-3;3,464E-3;2,503E-2;0,102;-0,137;0,156;-2,540E-3;2,898E-3;3,993E-4
0,683;-3,581E-3;4,462E-2;-0,788;0,465;-1,466E-2;8,645E-3;7,783E-3;2,258E-2;0,104;-0,232;0,195;-4,311E-3;3,628E-3;8,534E-4
