#multi:
;Masse B;;;;;;;;;;Masse A;;;;;;;;;;
t;x;y;r;vx;vy;v;px;py;p;K;x;y;r;vx;vy;v;px;py;p;K;
0,000;2,647E-3;1,585E-3;3,085E-3;;;;;;;;0,368;1,055E-3;0,368;;;;;;;
0,017;-2,321E-3;3,931E-3;4,565E-3;-0,153;7,307E-2;0,169;-2,822E-3;1,349E-3;3,128E-3;2,650E-4;0,371;6,514E-4;0,371;0,293;-4,430E-2;0,296;5,398E-3;-8,161E-4;5,460E-3;8,091E-4
0,033;-2,449E-3;4,021E-3;4,708E-3;-4,934E-3;2,996E-3;5,773E-3;-9,109E-5;5,531E-5;1,066E-4;3,076E-7;0,378;-4,221E-4;0,378;0,271;-3,948E-2;0,274;5,000E-3;-7,271E-4;5,052E-3;6,929E-4
0,050;-2,485E-3;4,031E-3;4,736E-3;-3,002E-3;-2,790E-4;3,014E-3;-5,541E-5;-5,151E-6;5,565E-5;8,387E-8;0,380;-6,644E-4;0,380;0,127;-2,054E-2;0,129;2,342E-3;-3,783E-4;2,373E-3;1,528E-4
0,067;-2,549E-3;4,012E-3;4,753E-3;-9,171E-4;-4,601E-4;1,026E-3;-1,693E-5;-8,493E-6;1,894E-5;9,716E-9;0,382;-1,107E-3;0,382;9,850E-2;-2,472E-2;0,102;1,814E-3;-4,553E-4;1,871E-3;9,499E-5
0,083;-2,516E-3;4,016E-3;4,739E-3;7,343E-4;1,820E-4;7,566E-4;1,356E-5;3,360E-6;1,397E-5;5,283E-9;0,383;-1,488E-3;0,383;8,367E-2;-5,010E-2;9,753E-2;1,541E-3;-9,229E-4;1,796E-3;8,761E-5
0,100;-2,525E-3;4,018E-3;4,745E-3;-1,947E-3;-1,604E-4;1,953E-3;-3,594E-5;-2,962E-6;3,606E-5;3,522E-8;0,385;-2,777E-3;0,385;3,872E-2;-4,984E-2;6,312E-2;7,133E-4;-9,181E-4;1,163E-3;3,669E-5
0,117;-2,580E-3;4,011E-3;4,769E-3;-6,987E-4;-3,387E-4;7,765E-4;-1,290E-5;-6,252E-6;1,433E-5;5,565E-9;0,385;-3,150E-3;0,385;-2,222E-2;-2,976E-2;3,714E-2;-4,093E-4;-5,482E-4;6,842E-4;1,271E-5
0,133;-2,548E-3;4,006E-3;4,748E-3;9,698E-4;1,467E-4;9,808E-4;1,790E-5;2,708E-6;1,811E-5;8,879E-9;0,384;-3,769E-3;0,384;-0,138;-5,945E-2;0,150;-2,536E-3;-1,095E-3;2,762E-3;2,071E-4
0,150;-2,548E-3;4,015E-3;4,756E-3;-4,315E-4;4,258E-4;6,062E-4;-7,965E-6;7,861E-6;1,119E-5;3,392E-9;0,380;-5,131E-3;0,380;-0,223;-6,231E-2;0,232;-4,112E-3;-1,148E-3;4,270E-3;4,948E-4
0,167;-2,562E-3;4,021E-3;4,768E-3;-5,162E-3;2,455E-3;5,716E-3;-9,529E-5;4,533E-5;1,055E-4;3,016E-7;0,377;-5,846E-3;0,377;-0,258;-2,896E-2;0,260;-4,751E-3;-5,334E-4;4,781E-3;6,204E-4
0,183;-2,720E-3;4,097E-3;4,918E-3;-1,966E-3;-5,907E-4;2,053E-3;-3,629E-5;-1,090E-5;3,789E-5;3,889E-8;0,372;-6,097E-3;0,372;-0,662;2,865E-4;0,662;-1,220E-2;5,277E-6;1,220E-2;4,040E-3
0,200;-2,628E-3;4,001E-3;4,787E-3;4,377E-3;-1,822E-3;4,741E-3;8,080E-5;-3,364E-5;8,752E-5;2,075E-7;0,355;-5,836E-3;0,355;-0,912;3,775E-2;0,913;-1,681E-2;6,954E-4;1,682E-2;7,680E-3
0,217;-2,574E-3;4,037E-3;4,788E-3;4,324E-3;-1,835E-3;4,697E-3;7,982E-5;-3,387E-5;8,671E-5;2,036E-7;0,341;-4,838E-3;0,341;-0,890;6,464E-2;0,892;-1,640E-2;1,191E-3;1,644E-2;7,336E-3
0,233;-2,484E-3;3,940E-3;4,657E-3;3,049E-3;-3,179E-3;4,405E-3;5,628E-5;-5,868E-5;8,131E-5;1,791E-7;0,325;-3,682E-3;0,325;-1,717;0,114;1,721;-3,163E-2;2,097E-3;3,170E-2;2,728E-2
0,250;-2,473E-3;3,931E-3;4,644E-3;7,048E-4;3,010E-5;7,055E-4;1,301E-5;5,556E-7;1,302E-5;4,594E-9;0,284;-1,043E-3;0,284;-1,892;0,127;1,896;-3,485E-2;2,343E-3;3,493E-2;3,312E-2
0,267;-2,460E-3;3,941E-3;4,646E-3;-6,091E-4;1,752E-3;1,855E-3;-1,124E-5;3,235E-5;3,425E-5;3,177E-8;0,262;5,585E-4;0,262;-1,365;9,458E-2;1,368;-2,513E-2;1,742E-3;2,519E-2;1,723E-2
0,283;-2,493E-3;3,989E-3;4,704E-3;-2,560E-3;1,059E-3;2,771E-3;-4,726E-5;1,955E-5;5,115E-5;7,086E-8;0,238;2,110E-3;0,238;-2,035;0,161;2,041;-3,748E-2;2,971E-3;3,759E-2;3,836E-2
0,300;-2,545E-3;3,976E-3;4,721E-3;-2,804E-4;-1,634E-3;1,658E-3;-5,176E-6;-3,016E-5;3,060E-5;2,537E-8;0,194;5,934E-3;0,194;-2,023;0,150;2,029;-3,726E-2;2,772E-3;3,737E-2;3,790E-2
0,317;-2,502E-3;3,935E-3;4,663E-3;-8,140E-4;-6,954E-4;1,071E-3;-1,503E-5;-1,284E-5;1,976E-5;1,058E-8;0,171;7,126E-3;0,171;-1,361;7,736E-2;1,363;-2,507E-2;1,425E-3;2,512E-2;1,712E-2
0,333;-2,573E-3;3,953E-3;4,716E-3;1,393E-3;-1,860E-4;1,406E-3;2,572E-5;-3,434E-6;2,595E-5;1,823E-8;0,149;8,513E-3;0,149;-2,052;0,130;2,056;-3,779E-2;2,387E-3;3,787E-2;3,892E-2
0,350;-2,456E-3;3,928E-3;4,633E-3;3,661E-3;-9,097E-4;3,772E-3;6,757E-5;-1,679E-5;6,963E-5;1,313E-7;0,103;1,144E-2;0,103;-2,044;0,136;2,048;-3,765E-2;2,499E-3;3,773E-2;3,865E-2
0,367;-2,451E-3;3,923E-3;4,625E-3;-7,195E-2;-3,512E-2;8,006E-2;-1,328E-3;-6,483E-4;1,478E-3;5,917E-5;8,044E-2;1,304E-2;8,149E-2;-1,958;0,157;1,964;-3,606E-2;2,890E-3;3,617E-2;3,552E-2
0,383;-4,854E-3;2,758E-3;5,583E-3;-0,660;-0,167;0,681;-1,219E-2;-3,076E-3;1,257E-2;4,278E-3;3,734E-2;1,667E-2;4,089E-2;-1,374;0,288;1,404;-2,532E-2;5,306E-3;2,587E-2;1,816E-2
0,400;-2,445E-2;-1,631E-3;2,451E-2;-1,180;-0,278;1,212;-2,178E-2;-5,125E-3;2,237E-2;1,356E-2;3,463E-2;2,264E-2;4,137E-2;-0,149;0,363;0,392;-2,737E-3;6,686E-3;7,224E-3;1,417E-3
0,417;-4,418E-2;-6,496E-3;4,465E-2;-1,180;-0,281;1,213;-2,178E-2;-5,195E-3;2,239E-2;1,358E-2;3,238E-2;2,877E-2;4,332E-2;-0,139;0,358;0,384;-2,564E-3;6,593E-3;7,074E-3;1,358E-3
0,433;-6,379E-2;-1,101E-2;6,473E-2;-1,778;-0,423;1,828;-3,282E-2;-7,803E-3;3,374E-2;3,083E-2;2,999E-2;3,457E-2;4,576E-2;-0,204;0,528;0,566;-3,751E-3;9,724E-3;1,042E-2;2,948E-3
0,450;-0,103;-2,059E-2;0,105;-1,799;-0,430;1,850;-3,321E-2;-7,941E-3;3,414E-2;3,158E-2;2,560E-2;4,637E-2;5,296E-2;-0,204;0,532;0,570;-3,753E-3;9,808E-3;1,050E-2;2,994E-3
0,467;-0,124;-2,535E-2;0,126;-1,191;-0,274;1,222;-2,198E-2;-5,051E-3;2,255E-2;1,378E-2;2,320E-2;5,232E-2;5,723E-2;-0,143;0,362;0,389;-2,634E-3;6,659E-3;7,161E-3;1,392E-3
0,483;-0,143;-2,971E-2;0,146;-1,765;-0,413;1,812;-3,257E-2;-7,618E-3;3,345E-2;3,031E-2;2,083E-2;5,842E-2;6,202E-2;-0,218;0,546;0,588;-4,015E-3;1,005E-2;1,082E-2;3,180E-3
0,500;-0,183;-3,911E-2;0,187;-1,772;-0,409;1,818;-3,270E-2;-7,541E-3;3,356E-2;3,051E-2;1,593E-2;7,051E-2;7,228E-2;-0,218;0,541;0,583;-4,018E-3;9,959E-3;1,074E-2;3,130E-3
0,517;-0,202;-4,332E-2;0,207;-1,766;-0,401;1,811;-3,260E-2;-7,408E-3;3,343E-2;3,027E-2;1,356E-2;7,644E-2;7,763E-2;-0,218;0,537;0,580;-4,022E-3;9,895E-3;1,068E-2;3,097E-3
0,533;-0,241;-5,248E-2;0,247;-1,763;-0,405;1,809;-3,255E-2;-7,473E-3;3,340E-2;3,021E-2;8,652E-3;8,841E-2;8,884E-2;-0,223;0,535;0,580;-4,100E-3;9,860E-3;1,068E-2;3,095E-3
