#multi:
;Masse A;;;;;;;Masse B;;;;;;;
t;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;
0,000;4,111E-2;2,329E-2;;;;;;4,796E-2;-0,219;;;;;
0,017;4,097E-2;2,323E-2;-9,514E-3;-5,660E-3;-8,858E-5;-5,269E-5;5,705E-7;4,699E-2;-0,211;-6,465E-2;0,465;-1,191E-3;8,566E-3;2,030E-3
0,033;4,079E-2;2,310E-2;-2,312E-2;-2,230E-2;-2,152E-4;-2,076E-4;4,803E-6;4,580E-2;-0,204;-0,104;0,692;-1,922E-3;1,274E-2;4,505E-3
0,050;4,020E-2;2,248E-2;-2,794E-2;-3,315E-2;-2,602E-4;-3,087E-4;8,752E-6;4,351E-2;-0,188;-0,102;0,694;-1,883E-3;1,279E-2;4,535E-3
0,067;3,986E-2;2,200E-2;-1,602E-2;-2,151E-2;-1,492E-4;-2,002E-4;3,348E-6;4,239E-2;-0,181;-6,947E-2;0,467;-1,280E-3;8,596E-3;2,050E-3
0,083;3,966E-2;2,176E-2;-2,149E-2;-2,243E-2;-2,000E-4;-2,088E-4;4,491E-6;4,119E-2;-0,173;-0,105;0,690;-1,941E-3;1,271E-2;4,489E-3
0,100;3,914E-2;2,125E-2;-4,158E-2;-4,549E-2;-3,871E-4;-4,235E-4;1,768E-5;3,888E-2;-0,158;-0,141;0,916;-2,603E-3;1,688E-2;7,916E-3
0,117;3,828E-2;2,025E-2;-3,557E-2;-3,964E-2;-3,311E-4;-3,691E-4;1,320E-5;3,648E-2;-0,142;-0,103;0,693;-1,899E-3;1,276E-2;4,519E-3
0,133;3,796E-2;1,993E-2;-2,261E-2;-3,947E-2;-2,105E-4;-3,675E-4;9,633E-6;3,545E-2;-0,134;-9,797E-2;0,690;-1,805E-3;1,271E-2;4,474E-3
0,150;3,752E-2;1,893E-2;-3,045E-2;-4,407E-2;-2,835E-4;-4,103E-4;1,336E-5;3,322E-2;-0,119;-9,792E-2;0,680;-1,804E-3;1,253E-2;4,348E-3
0,167;3,694E-2;1,846E-2;-2,051E-2;-1,920E-2;-1,910E-4;-1,787E-4;3,674E-6;3,218E-2;-0,112;-6,273E-2;0,450;-1,156E-3;8,290E-3;1,902E-3
0,183;3,684E-2;1,829E-2;-2,817E-2;-3,697E-2;-2,623E-4;-3,442E-4;1,006E-5;3,113E-2;-0,104;-0,103;0,682;-1,890E-3;1,257E-2;4,384E-3
0,200;3,600E-2;1,723E-2;-3,571E-2;-4,315E-2;-3,325E-4;-4,017E-4;1,460E-5;2,876E-2;-8,908E-2;-0,100;0,678;-1,844E-3;1,249E-2;4,324E-3
0,217;3,565E-2;1,685E-2;-1,548E-2;-1,409E-2;-1,441E-4;-1,312E-4;2,040E-6;2,779E-2;-8,173E-2;-6,491E-2;0,448;-1,196E-3;8,251E-3;1,887E-3
0,233;3,549E-2;1,676E-2;-1,964E-2;-3,974E-2;-1,829E-4;-3,699E-4;9,146E-6;2,660E-2;-7,415E-2;-9,872E-2;0,683;-1,818E-3;1,258E-2;4,383E-3
0,250;3,500E-2;1,553E-2;-2,204E-2;-4,348E-2;-2,052E-4;-4,048E-4;1,106E-5;2,450E-2;-5,897E-2;-9,743E-2;0,678;-1,795E-3;1,250E-2;4,326E-3
0,267;3,475E-2;1,531E-2;-1,633E-2;-4,117E-2;-1,521E-4;-3,833E-4;9,131E-6;2,335E-2;-5,154E-2;-9,802E-2;0,676;-1,806E-3;1,244E-2;4,292E-3
0,283;3,445E-2;1,416E-2;-1,873E-2;-4,370E-2;-1,744E-4;-4,068E-4;1,052E-5;2,123E-2;-3,645E-2;-9,733E-2;0,674;-1,793E-3;1,241E-2;4,271E-3
0,300;3,413E-2;1,385E-2;2,436E-2;0,115;2,268E-4;1,072E-3;6,443E-5;2,011E-2;-2,907E-2;-8,537E-2;0,364;-1,573E-3;6,707E-3;1,288E-3
0,317;3,526E-2;1,799E-2;0,176;0,611;1,634E-3;5,685E-3;1,879E-3;1,839E-2;-2,432E-2;-0,204;0,324;-3,751E-3;5,959E-3;1,346E-3
0,333;3,998E-2;3,421E-2;0,206;0,722;1,920E-3;6,720E-3;2,623E-3;1,332E-2;-1,829E-2;-0,224;0,274;-4,125E-3;5,055E-3;1,155E-3
0,350;4,214E-2;4,205E-2;0,195;0,730;1,813E-3;6,796E-3;2,657E-3;1,092E-2;-1,517E-2;-0,223;0,270;-4,103E-3;4,980E-3;1,130E-3
0,367;4,647E-2;5,854E-2;0,199;0,746;1,857E-3;6,943E-3;2,774E-3;5,892E-3;-9,275E-3;-0,224;0,266;-4,130E-3;4,904E-3;1,116E-3
0,383;4,878E-2;6,691E-2;0,137;0,498;1,278E-3;4,637E-3;1,242E-3;3,450E-3;-6,293E-3;-0,131;0,160;-2,422E-3;2,955E-3;3,963E-4
0,400;5,104E-2;7,514E-2;0,207;0,741;1,930E-3;6,898E-3;2,756E-3;1,509E-3;-3,928E-3;-0,203;0,218;-3,739E-3;4,007E-3;8,152E-4
0,417;5,570E-2;9,161E-2;0,207;0,748;1,927E-3;6,965E-3;2,804E-3;-3,316E-3;9,570E-4;-0,228;0,269;-4,194E-3;4,963E-3;1,146E-3
0,433;5,794E-2;0,100;0,137;0,492;1,274E-3;4,578E-3;1,213E-3;-6,081E-3;5,053E-3;-0,153;0,214;-2,822E-3;3,934E-3;6,363E-4
0,450;6,026E-2;0,108;0,207;0,730;1,931E-3;6,793E-3;2,678E-3;-8,423E-3;8,076E-3;-0,224;0,267;-4,130E-3;4,927E-3;1,122E-3
0,467;6,485E-2;0,124;0,201;0,739;1,874E-3;6,882E-3;2,732E-3;-1,356E-2;1,397E-2;-0,231;0,270;-4,257E-3;4,970E-3;1,162E-3
0,483;6,697E-2;0,133;0,198;0,735;1,844E-3;6,847E-3;2,701E-3;-1,613E-2;1,707E-2;-0,224;0,262;-4,130E-3;4,829E-3;1,096E-3
0,500;7,146E-2;0,149;0,197;0,736;1,830E-3;6,854E-3;2,703E-3;-2,103E-2;2,271E-2;-0,218;0,254;-4,019E-3;4,682E-3;1,033E-3
0,517;7,352E-2;0,157;0,188;0,730;1,748E-3;6,795E-3;2,643E-3;-2,340E-2;2,554E-2;-0,220;0,263;-4,044E-3;4,853E-3;1,083E-3
0,533;7,771E-2;0,173;0,188;0,735;1,754E-3;6,841E-3;2,679E-3;-2,835E-2;3,149E-2;-0,221;0,260;-4,076E-3;4,781E-3;1,072E-3
0,550;7,980E-2;0,182;0,131;0,496;1,218E-3;4,620E-3;1,226E-3;-3,078E-2;3,419E-2;-0,151;0,167;-2,784E-3;3,078E-3;4,675E-4
0,567;8,207E-2;0,190;0,134;0,491;1,243E-3;4,569E-3;1,204E-3;-3,339E-2;3,706E-2;-0,149;0,177;-2,738E-3;3,261E-3;4,922E-4
0,583;8,425E-2;0,198;0,188;0,727;1,746E-3;6,765E-3;2,622E-3;-3,573E-2;4,009E-2;-0,212;0,264;-3,913E-3;4,866E-3;1,058E-3
0,600;8,833E-2;0,214;0,184;0,726;1,714E-3;6,761E-3;2,613E-3;-4,047E-2;4,586E-2;-0,216;0,250;-3,986E-3;4,601E-3;1,006E-3
