Nr, Minimaler Ablenkwinkel [grad], [minuten]
1, 201, 20
2, 201, 20
3, 201, 0
4, 200, 20
5, 199, 20
6, 199, 10
7, 198, 20
8, 198, 0
9, 198, 0
10, 197, 0
