Nr, lambda, delta_deg, delta_min
1, 690.8, 201, 50
2, 623.4, 201, 10
3, 579.1, 200, 30
4, 577.0, 200, 30
5, 546.1, 200, 0
6, 499.2, 199, 0
7, 491.6, 198, 40
8, 435.8, 196, 40
9, 407.8, 195, 20
10, 404.7, 195, 10
