N, I_1(mA), U_1(V), U_2(V)
85, 75.0, 1.27, 2.15
100, 74.9, 1.27, 2.52
120, 74.9, 1.27, 3.03
140, 74.8, 1.26, 3.52
170, 75.1, 1.27, 4.31
200, 75.1, 1.27, 5.08
240, 74.7, 1.26, 6.04
290, 75.0, 1.27, 7.35
350, 74.9, 1.27, 8.86
420, 75.0, 1.27, 10.54
500, 74.6, 1.26, 12.45
