N, I_1(mA), I_2(mA), U_1(V)
85, 86.3, 48.5, 0.16
100, 86.8, 42.1, 0.13
120, 87.4, 35.6, 0.10
140, 87.6, 30.7, 0.09
170, 87.9, 25.5, 0.07
200, 88.1, 21.8, 0.07
240, 88.3, 18.2, 0.06
290, 88.4, 15.1, 0.05
350, 88.5, 12.5, 0.05
420, 88.6, 10.5, 0.04
500, 88.7, 8.8, 0.04
