N, I_1(mA), I_2(mA), U_1(V)
85, 75.1, 1.009, 1.25
100, 75.0, 1.178, 1.24
120, 74.8, 1.394, 1.22
140, 75.1, 1.616, 1.22
170, 75.1, 1.920, 1.19
200, 75.1, 2.27, 1.16
240, 75.2, 2.63, 1.11
290, 75.4, 3.00, 1.05
350, 75.8, 3.35, 0.98
420, 76.4, 3.63, 0.90
500, 77.1, 3.83, 0.80
