N, I_1(mA), I_2(mA), U_1(V)
85, 63.1, 1.568, 1.93
100, 63.1, 1.826, 1.91
120, 63.2, 2.22, 1.87
140, 63.4, 2.54, 1.84
170, 63.6, 2.98, 1.78
200, 64.0, 3.38, 1.71
240, 64.6, 3.83, 1.61
290, 65.6, 4.26, 1.48
350, 67.1, 4.60, 1.33
420, 68.9, 4.79, 1.17
500, 71.2, 4.84, 0.99
