N, I_1(mA), I_2(mA), U_1(V)
85, 64.0, 9.07, 1.67
100, 64.7, 10.06, 1.57
120, 65.8, 11.07, 1.44
140, 67.2, 11.75, 1.32
170, 69.4, 12.26, 1.13
200, 71.6, 12.32, 0.97
240, 74.3, 11.98, 0.79
290, 77.1, 11.22, 0.62
350, 79.8, 10.21, 0.47
420, 81.9, 9.14, 0.36
500, 83.5, 8.03, 0.27
