N, I_1(mA), I_2(mA), U_1(V)
85, 86.0, 49.2, 0.15
100, 86.5, 42.4, 0.12
120, 87.1, 35.7, 0.09
140, 87.4, 30.8, 0.08
170, 87.6, 25.4, 0.06
200, 87.9, 21.7, 0.05
240, 88.1, 18.0, 0.04
290, 88.2, 14.9, 0.04
350, 88.3, 12.3, 0.03
420, 88.3, 10.3, 0.03
500, 88.4, 8.6, 0.03
