Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	1.7041015625	1.943359375
0.000496	1.6357421875	1.865234375
0.000996	1.58203125	1.787109375
0.0015	1.5380859375	1.7138671875
0.002004	1.494140625	1.6552734375
0.002496	1.46484375	1.611328125
0.002996	1.4501953125	1.5625
0.0035	1.4404296875	1.5234375
0.004004	1.4453125	1.50390625
0.004496	1.4501953125	1.494140625
0.004996	1.4794921875	1.494140625
0.005496	1.5234375	1.4990234375
0.005996	1.572265625	1.5185546875
0.006496	1.630859375	1.5478515625
0.006996	1.6943359375	1.5869140625
0.007496	1.7626953125	1.640625
0.007996	1.85546875	1.689453125
0.008496	1.943359375	1.7578125
0.008996	2.0361328125	1.8310546875
0.009496	2.138671875	1.9189453125
0.009996	2.2314453125	2.001953125
0.010496	2.34375	2.08984375
0.010996	2.451171875	2.1875
0.011496	2.55859375	2.2900390625
0.011996	2.6611328125	2.3876953125
0.012496	2.763671875	2.4853515625
0.012996	2.861328125	2.578125
0.013496	2.9541015625	2.6708984375
0.013996	3.0322265625	2.75390625
0.014496	3.1103515625	2.8515625
0.014996	3.1787109375	2.9345703125
0.0155	3.2421875	3.0078125
0.016004	3.2958984375	3.076171875
0.016496	3.3251953125	3.14453125
0.016996	3.369140625	3.193359375
0.0175	3.3935546875	3.2373046875
0.018004	3.3837890625	3.2763671875
0.018496	3.388671875	3.2958984375
0.018996	3.3740234375	3.3154296875
0.0195	3.3447265625	3.310546875
0.020004	3.3056640625	3.310546875
0.020496	3.2958984375	3.291015625
0.020996	3.1982421875	3.2470703125
0.0215	3.1201171875	3.2080078125
0.022	3.046875	3.1640625
0.0225	2.96875	3.095703125
0.023004	2.87109375	3.037109375
0.023496	2.7880859375	2.958984375
0.023996	2.67578125	2.8857421875
0.0245	2.5830078125	2.802734375
0.025004	2.470703125	2.7001953125
0.025496	2.373046875	2.6123046875
0.025996	2.2607421875	2.51953125
0.0265	2.1630859375	2.421875
0.027	2.060546875	2.3193359375
0.0275	1.9580078125	2.216796875
0.028	1.865234375	2.12890625
0.0285	1.787109375	2.0361328125
0.029	1.7041015625	1.9384765625
0.0295	1.6357421875	1.85546875
0.03	1.5673828125	1.7822265625
0.0305	1.5283203125	1.708984375
0.031	1.484375	1.6552734375
0.0315	1.46484375	1.5966796875
0.032	1.435546875	1.5625
0.0325	1.4453125	1.5283203125
0.033	1.435546875	1.5087890625
0.0335	1.4599609375	1.494140625
0.034	1.494140625	1.494140625
0.0345	1.5283203125	1.4990234375
0.035	1.5869140625	1.5234375
0.0355	1.6455078125	1.552734375
0.036	1.71875	1.6015625
0.0365	1.806640625	1.650390625
0.037004	1.8896484375	1.7236328125
0.037496	1.982421875	1.787109375
0.037996	2.080078125	1.865234375
0.0385	2.177734375	1.943359375
0.039004	2.28515625	2.0361328125
0.039496	2.3974609375	2.1337890625
0.039996	2.5146484375	2.2314453125
0.0405	2.6171875	2.333984375
0.041004	2.724609375	2.431640625
0.041496	2.8271484375	2.5244140625
0.041996	2.9150390625	2.6318359375
0.0425	3.0029296875	2.724609375
0.043004	3.095703125	2.8076171875
0.043496	3.1591796875	2.900390625
0.043996	3.232421875	2.9833984375
0.0445	3.291015625	3.0517578125
0.045004	3.330078125	3.115234375
0.045496	3.3642578125	3.18359375
0.045996	3.3837890625	3.2275390625
0.0465	3.3984375	3.2568359375
0.047004	3.3935546875	3.2861328125
0.047496	3.37890625	3.310546875
0.047996	3.3447265625	3.3154296875
0.048496	3.310546875	3.30078125
0.048996	3.26171875	3.2861328125
0.049496	3.212890625	3.2568359375
0.049996	3.14453125	3.22265625
0.050496	3.0615234375	3.173828125
0.050996	2.9833984375	3.115234375
0.051496	2.8857421875	3.0419921875
0.051996	2.783203125	2.9736328125
0.052496	2.685546875	2.890625
0.052996	2.5830078125	2.79296875
0.053496	2.4658203125	2.7099609375
0.053996	2.3583984375	2.6171875
0.054496	2.2509765625	2.509765625
0.054996	2.1435546875	2.412109375
0.055496	2.041015625	2.2998046875
0.055996	1.943359375	2.20703125
0.056496	1.8505859375	2.119140625
0.056996	1.7578125	2.0263671875
0.057504	1.6796875	1.93359375
0.058004	1.62109375	1.8505859375
0.058496	1.5625	1.7724609375
0.059004	1.5087890625	1.708984375
0.059496	1.474609375	1.6455078125
0.059996	1.4453125	1.5966796875
0.0605	1.4453125	1.552734375
0.061004	1.4404296875	1.5234375
0.061496	1.455078125	1.4990234375
0.061996	1.474609375	1.4892578125
0.0625	1.50390625	1.50390625
0.063004	1.5576171875	1.513671875
0.063496	1.6162109375	1.54296875
0.064004	1.6845703125	1.5771484375
0.064496	1.7529296875	1.630859375
0.064996	1.8505859375	1.6845703125
0.0655	1.9287109375	1.7529296875
0.066004	2.03125	1.826171875
0.066496	2.12890625	1.8994140625
0.066996	2.255859375	1.9970703125
0.0675	2.3486328125	2.08984375
0.068004	2.470703125	2.1923828125
0.068496	2.5830078125	2.28515625
0.069	2.6953125	2.3876953125
0.0695	2.783203125	2.490234375
0.07	2.8955078125	2.587890625
0.0705	2.978515625	2.6904296875
0.071	3.0615234375	2.783203125
0.0715	3.1396484375	2.8759765625
0.072	3.2080078125	2.9541015625
0.0725	3.271484375	3.0322265625
0.073	3.3251953125	3.10546875
0.0735	3.359375	3.1640625
0.074	3.37890625	3.2177734375
0.0745	3.3935546875	3.2568359375
0.075	3.3837890625	3.2861328125
0.0755	3.37890625	3.2958984375
0.076	3.3544921875	3.310546875
0.0765	3.3203125	3.30078125
0.077	3.2666015625	3.2861328125
0.0775	3.2080078125	3.26171875
0.078	3.1396484375	3.22265625
0.0785	3.0615234375	3.1640625
0.079008	2.9736328125	3.1103515625
0.079496	2.880859375	3.046875
0.079996	2.7783203125	2.9638671875
0.0805	2.67578125	2.880859375
0.081004	2.5634765625	2.79296875
0.081496	2.4560546875	2.6953125
0.081996	2.3388671875	2.59765625
0.0825	2.2265625	2.509765625
0.083004	2.1240234375	2.3974609375
