Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 1000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.9296875	3.06640625
0.001	2.75390625	2.9296875
0.002	2.5732421875	2.7685546875
0.003	2.3876953125	2.59765625
0.004	2.197265625	2.421875
0.004996	2.01171875	2.24609375
0.005996	1.8408203125	2.0654296875
0.006996	1.708984375	1.904296875
0.007996	1.58203125	1.7578125
0.008996	1.50390625	1.640625
0.009996	1.4501953125	1.5478515625
0.010996	1.4208984375	1.494140625
0.011996	1.455078125	1.474609375
0.012996	1.5283203125	1.4892578125
0.013996	1.6259765625	1.5380859375
0.014996	1.7529296875	1.62109375
0.015996	1.9091796875	1.73828125
0.016996	2.080078125	1.8798828125
0.017996	2.265625	2.0361328125
0.018996	2.4658203125	2.216796875
0.019996	2.6513671875	2.40234375
0.020996	2.841796875	2.578125
0.021996	3.0078125	2.7490234375
0.022996	3.134765625	2.91015625
0.023996	3.251953125	3.0517578125
0.024996	3.33984375	3.173828125
0.025996	3.388671875	3.26171875
0.026996	3.3837890625	3.3056640625
0.027996	3.359375	3.3349609375
0.028996	3.28125	3.310546875
0.029996	3.193359375	3.251953125
0.030996	3.0517578125	3.1591796875
0.031996	2.8857421875	3.0419921875
0.032996	2.71484375	2.890625
0.033996	2.51953125	2.724609375
0.034996	2.32421875	2.5439453125
0.036	2.1337890625	2.36328125
0.037	1.953125	2.1826171875
0.038	1.7919921875	2.0068359375
0.039	1.6455078125	1.8505859375
0.04	1.54296875	1.708984375
0.041	1.4697265625	1.6015625
0.042	1.4404296875	1.5234375
0.043	1.4404296875	1.484375
0.044	1.484375	1.4794921875
0.045	1.5771484375	1.513671875
0.046	1.6943359375	1.58203125
0.047	1.8408203125	1.6845703125
0.047996	2.0068359375	1.8212890625
0.048996	2.197265625	1.9677734375
0.049996	2.3876953125	2.1533203125
0.050996	2.5927734375	2.333984375
0.051996	2.783203125	2.509765625
0.052996	2.958984375	2.6953125
0.053996	3.1201171875	2.87109375
0.054996	3.2373046875	3.0224609375
0.055996	3.330078125	3.1494140625
0.056996	3.369140625	3.2373046875
0.057996	3.3984375	3.30078125
0.058996	3.359375	3.330078125
0.059996	3.30078125	3.3056640625
0.060996	3.203125	3.2568359375
0.061996	3.0517578125	3.1689453125
0.062996	2.8955078125	3.046875
0.063996	2.7197265625	2.900390625
0.064996	2.51953125	2.724609375
0.065996	2.314453125	2.5439453125
0.066996	2.119140625	2.3583984375
0.067996	1.9384765625	2.177734375
0.068996	1.767578125	1.9970703125
0.069996	1.6259765625	1.8359375
0.070996	1.5283203125	1.7041015625
0.071996	1.4599609375	1.5966796875
0.072996	1.435546875	1.5185546875
0.073996	1.455078125	1.484375
0.074996	1.513671875	1.4892578125
0.075996	1.6015625	1.5234375
0.076996	1.728515625	1.611328125
0.078008	1.884765625	1.728515625
0.079	2.0703125	1.875
0.08	2.2607421875	2.03125
0.081	2.470703125	2.2216796875
0.082	2.6806640625	2.40234375
0.083	2.87109375	2.5927734375
0.084	3.0322265625	2.7734375
0.085	3.1787109375	2.9443359375
0.086	3.2861328125	3.0859375
0.087	3.359375	3.193359375
0.088	3.388671875	3.271484375
0.089	3.37890625	3.3154296875
0.089996	3.330078125	3.310546875
0.090996	3.2421875	3.28125
0.091996	3.1103515625	3.2080078125
0.092996	2.9541015625	3.0859375
0.093996	2.7734375	2.9443359375
0.094996	2.5732421875	2.7880859375
0.095996	2.373046875	2.59765625
0.096996	2.1630859375	2.4072265625
0.097996	1.9775390625	2.2216796875
0.098996	1.796875	2.041015625
0.099996	1.650390625	1.865234375
0.100996	1.5478515625	1.728515625
0.101996	1.46484375	1.611328125
0.102996	1.4404296875	1.533203125
0.103996	1.455078125	1.4892578125
0.104996	1.50390625	1.494140625
0.105996	1.591796875	1.5283203125
0.106996	1.728515625	1.6064453125
0.107996	1.89453125	1.728515625
0.108996	2.0751953125	1.865234375
0.109996	2.275390625	2.041015625
0.110996	2.4853515625	2.2265625
0.111996	2.6953125	2.4169921875
0.112996	2.8857421875	2.59765625
0.113996	3.046875	2.79296875
0.114996	3.1982421875	2.9541015625
0.115996	3.3056640625	3.1005859375
0.116996	3.3740234375	3.2080078125
0.117996	3.3935546875	3.2763671875
0.118996	3.369140625	3.3154296875
0.119996	3.3056640625	3.310546875
0.121	3.212890625	3.251953125
0.122	3.06640625	3.1787109375
0.123	2.890625	3.0419921875
0.124	2.7001953125	2.900390625
0.125	2.490234375	2.7197265625
0.126	2.28515625	2.5390625
0.127	2.080078125	2.3388671875
0.128	1.8896484375	2.1435546875
0.129	1.7236328125	1.97265625
0.13	1.6015625	1.806640625
0.131	1.4990234375	1.6748046875
0.132	1.4404296875	1.572265625
0.132996	1.4306640625	1.513671875
0.133996	1.4697265625	1.494140625
0.134996	1.5576171875	1.5087890625
0.135996	1.669921875	1.572265625
0.136996	1.81640625	1.6796875
0.137996	2.0068359375	1.8115234375
0.138996	2.20703125	1.9775390625
0.139996	2.4169921875	2.1630859375
0.140996	2.63671875	2.36328125
0.141996	2.8271484375	2.5390625
0.142996	3.017578125	2.7294921875
0.143996	3.1640625	2.9150390625
0.144996	3.2861328125	3.056640625
0.145996	3.3642578125	3.1787109375
0.146996	3.388671875	3.2666015625
0.147996	3.3740234375	3.3154296875
0.148996	3.310546875	3.3154296875
0.149996	3.22265625	3.2666015625
0.150996	3.0712890625	3.18359375
0.151996	2.9052734375	3.0615234375
0.152996	2.71484375	2.900390625
