Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 1000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	3.1982421875	3.251953125
0.001	3.076171875	3.14453125
0.002	2.919921875	3.0224609375
0.003	2.7490234375	2.861328125
0.004	2.5634765625	2.6904296875
0.005	2.36328125	2.509765625
0.006	2.177734375	2.32421875
0.007	1.9873046875	2.12890625
0.008	1.81640625	1.953125
0.009	1.6748046875	1.8017578125
0.01	1.5576171875	1.669921875
0.011	1.484375	1.5625
0.012	1.4404296875	1.4892578125
0.013	1.4404296875	1.4501953125
0.014	1.474609375	1.455078125
0.015	1.5380859375	1.494140625
0.016	1.6552734375	1.572265625
0.017	1.787109375	1.689453125
0.018	1.9580078125	1.8212890625
0.019	2.1484375	1.9921875
0.02	2.3388671875	2.16796875
0.021	2.5439453125	2.3583984375
0.022	2.7294921875	2.548828125
0.023	2.9052734375	2.734375
0.023996	3.06640625	2.9052734375
0.024996	3.1982421875	3.056640625
0.025996	3.2958984375	3.18359375
0.026996	3.3642578125	3.2763671875
0.027996	3.3935546875	3.3349609375
0.028996	3.388671875	3.3544921875
0.029996	3.3349609375	3.330078125
0.030996	3.2421875	3.2763671875
0.031996	3.1201171875	3.1787109375
0.032996	2.9638671875	3.0517578125
0.033996	2.79296875	2.9052734375
0.034996	2.6025390625	2.724609375
0.036004	2.40234375	2.568359375
0.037	2.197265625	2.3583984375
0.038	2.0068359375	2.16796875
0.039	1.8408203125	1.982421875
0.04	1.6845703125	1.8115234375
0.041	1.572265625	1.6748046875
0.042	1.494140625	1.5576171875
0.043	1.4501953125	1.494140625
0.044	1.4453125	1.455078125
0.045	1.474609375	1.4599609375
0.046	1.5576171875	1.4990234375
0.047	1.669921875	1.58203125
0.048	1.81640625	1.69921875
0.049	1.982421875	1.8408203125
0.05	2.1728515625	2.0068359375
0.051	2.3681640625	2.1923828125
0.052	2.5830078125	2.392578125
0.053	2.7685546875	2.5927734375
0.054	2.94921875	2.7783203125
0.055	3.10546875	2.939453125
0.056	3.2421875	3.0859375
0.057	3.330078125	3.212890625
0.058	3.37890625	3.2958984375
0.059	3.3935546875	3.3447265625
0.06	3.369140625	3.349609375
0.061	3.2958984375	3.310546875
0.062	3.18359375	3.232421875
0.063	3.046875	3.125
0.064	2.8759765625	2.9931640625
0.065	2.6904296875	2.8271484375
0.066	2.490234375	2.6416015625
0.066996	2.2802734375	2.4462890625
0.067996	2.08984375	2.2412109375
0.068996	1.904296875	2.0556640625
0.069996	1.7333984375	1.8798828125
0.070996	1.611328125	1.71875
0.071996	1.513671875	1.6064453125
0.072996	1.4453125	1.513671875
0.073996	1.4404296875	1.4697265625
0.074996	1.46484375	1.455078125
0.075996	1.5380859375	1.4892578125
0.076996	1.640625	1.5625
0.078004	1.77734375	1.669921875
0.079	1.9580078125	1.81640625
0.08	2.138671875	1.9873046875
0.081	2.3388671875	2.1728515625
0.082	2.548828125	2.3681640625
0.083	2.7587890625	2.568359375
0.084	2.9345703125	2.75390625
0.085	3.095703125	2.9296875
0.086	3.2275390625	3.0859375
0.087	3.3203125	3.203125
0.088	3.3837890625	3.2958984375
0.089	3.3935546875	3.3447265625
0.09	3.359375	3.349609375
0.091	3.2861328125	3.30078125
0.092	3.1787109375	3.22265625
0.093	3.0224609375	3.1103515625
0.094	2.8564453125	2.9736328125
0.095	2.65625	2.7880859375
0.096	2.4560546875	2.607421875
0.097	2.2509765625	2.4072265625
0.098	2.041015625	2.20703125
0.099	1.8603515625	2.0166015625
0.1	1.7041015625	1.845703125
0.101	1.5771484375	1.6943359375
0.102	1.4892578125	1.5673828125
0.103	1.4404296875	1.4990234375
0.104	1.435546875	1.4599609375
0.105	1.484375	1.4599609375
0.106	1.5673828125	1.513671875
0.107	1.6943359375	1.6064453125
0.108	1.8505859375	1.7333984375
0.108996	2.0458984375	1.8896484375
0.109996	2.2412109375	2.0751953125
0.110996	2.451171875	2.2607421875
0.111996	2.6611328125	2.470703125
0.112996	2.8662109375	2.685546875
0.113996	3.0322265625	2.8564453125
0.114996	3.18359375	3.0224609375
0.115996	3.2958984375	3.1640625
0.116996	3.369140625	3.2666015625
0.117996	3.4033203125	3.3251953125
0.118996	3.3740234375	3.349609375
0.119996	3.3154296875	3.3251953125
0.121004	3.2080078125	3.2568359375
0.122	3.06640625	3.154296875
0.123	2.8955078125	2.998046875
0.124	2.7001953125	2.8369140625
0.125	2.4853515625	2.646484375
0.126	2.2802734375	2.4462890625
0.127	2.0703125	2.236328125
0.128	1.884765625	2.0458984375
0.129	1.7138671875	1.8603515625
0.13	1.5771484375	1.69921875
0.131	1.494140625	1.5869140625
0.132	1.435546875	1.50390625
0.133	1.4404296875	1.46484375
0.134	1.4892578125	1.4697265625
0.135	1.5771484375	1.5185546875
0.136	1.69921875	1.611328125
0.137	1.8701171875	1.73828125
0.138	2.0556640625	1.904296875
0.139	2.2607421875	2.08984375
0.14	2.4755859375	2.28515625
0.141	2.6806640625	2.4951171875
0.142	2.8955078125	2.6953125
0.143	3.06640625	2.880859375
0.144	3.2080078125	3.0517578125
0.145	3.310546875	3.1884765625
0.146	3.3740234375	3.2861328125
0.147	3.3984375	3.330078125
0.148	3.359375	3.3447265625
0.149	3.291015625	3.310546875
0.15	3.1591796875	3.2275390625
0.151	3.0126953125	3.10546875
0.151996	2.83203125	2.9541015625
0.152996	2.6220703125	2.7685546875
0.153996	2.40234375	2.568359375
0.154996	2.1923828125	2.3583984375
0.155996	1.9921875	2.158203125
0.156996	1.796875	1.953125
0.157996	1.650390625	1.7919921875
0.158996	1.5283203125	1.650390625
0.159996	1.455078125	1.54296875
0.160996	1.435546875	1.4794921875
0.161996	1.455078125	1.46484375
0.162996	1.5283203125	1.494140625
0.164004	1.6455078125	1.572265625
0.165	1.796875	1.6796875
0.166	1.982421875	1.8408203125
0.167	2.1923828125	2.0166015625
0.168	2.412109375	2.216796875
0.169	2.626953125	2.431640625
0.17	2.8369140625	2.63671875
0.171	3.0126953125	2.8271484375
0.172	3.1787109375	3.0078125
0.173	3.2958984375	3.14453125
0.174	3.3642578125	3.2568359375
0.175	3.388671875	3.3251953125
0.176	3.37890625	3.33984375
0.177	3.30078125	3.310546875
0.178	3.1884765625	3.232421875
0.179	3.0322265625	3.115234375
0.18	2.8466796875	2.978515625
0.181	2.626953125	2.783203125
0.182	2.4169921875	2.5732421875
0.183	2.1923828125	2.373046875
0.184	1.9873046875	2.1630859375
0.185	1.796875	1.962890625
0.186	1.640625	1.787109375
0.187	1.5283203125	1.6455078125
0.188	1.455078125	1.533203125
0.189	1.4306640625	1.4794921875
0.19	1.46484375	1.4697265625
0.191	1.54296875	1.4990234375
0.192	1.6650390625	1.5771484375
0.193	1.8212890625	1.708984375
0.194	2.0263671875	1.8603515625
0.194996	2.2314453125	2.0556640625
0.195996	2.451171875	2.2607421875
0.196996	2.67578125	2.4755859375
0.197996	2.880859375	2.685546875
0.198996	3.0712890625	2.87109375
0.199996	3.2177734375	3.0517578125
0.200996	3.3203125	3.1884765625
0.201996	3.388671875	3.2861328125
0.202996	3.3935546875	3.330078125
0.203996	3.3349609375	3.33984375
0.204996	3.251953125	3.2861328125
0.206004	3.1201171875	3.193359375
0.207	2.9541015625	3.056640625
0.208	2.75390625	2.890625
0.209	2.5341796875	2.6953125
0.21	2.3046875	2.490234375
0.211	2.08984375	2.2705078125
0.212	1.8798828125	2.0654296875
0.213	1.708984375	1.875
0.214	1.5771484375	1.7041015625
0.215	1.4794921875	1.58203125
0.216	1.435546875	1.50390625
0.217	1.4501953125	1.4697265625
0.218	1.513671875	1.4794921875
0.219	1.611328125	1.552734375
0.22	1.767578125	1.66015625
0.221	1.9580078125	1.8115234375
0.222	2.16796875	1.9921875
0.223	2.3876953125	2.1923828125
0.224	2.6171875	2.4072265625
0.225	2.841796875	2.6318359375
0.226	3.0322265625	2.83203125
0.227	3.1884765625	3.0078125
0.228	3.30078125	3.1640625
0.229	3.3837890625	3.271484375
0.23	3.3935546875	3.3349609375
0.231	3.3642578125	3.3349609375
0.232	3.2763671875	3.2958984375
0.233	3.1396484375	3.2080078125
0.234	2.96875	3.076171875
0.235	2.763671875	2.91015625
0.236	2.5439453125	2.7099609375
0.236996	2.314453125	2.5
0.237996	2.08984375	2.275390625
0.238996	1.8896484375	2.0703125
0.239996	1.7138671875	1.875
0.240996	1.5673828125	1.7041015625
0.241996	1.484375	1.5771484375
0.242996	1.4404296875	1.4990234375
0.243996	1.455078125	1.4599609375
0.244996	1.5185546875	1.4794921875
0.245996	1.6455078125	1.552734375
0.246996	1.8017578125	1.6748046875
0.247996	1.9921875	1.826171875
0.249004	2.216796875	2.0166015625
0.25	2.4462890625	2.236328125
0.251	2.67578125	2.451171875
0.252	2.880859375	2.67578125
0.253	3.076171875	2.880859375
0.254	3.2177734375	3.046875
0.255	3.3349609375	3.1982421875
0.256	3.3837890625	3.2861328125
0.257	3.388671875	3.3349609375
0.258	3.3349609375	3.330078125
0.259	3.232421875	3.271484375
0.26	3.076171875	3.1640625
0.261	2.8955078125	3.0126953125
0.262	2.6806640625	2.83203125
0.263	2.44140625	2.626953125
0.264	2.216796875	2.40234375
0.265	1.9921875	2.1875
0.266	1.796875	1.9677734375
0.267	1.630859375	1.7919921875
0.268	1.5185546875	1.640625
0.269	1.4501953125	1.5380859375
0.27	1.4306640625	1.4794921875
0.271	1.484375	1.474609375
