Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.48046875	2.5927734375
0.000504	2.3974609375	2.509765625
0.000996	2.3046875	2.44140625
0.001496	2.2265625	2.3486328125
0.002	2.1533203125	2.275390625
0.002504	2.0703125	2.1875
0.002996	2.001953125	2.1142578125
0.003496	1.9287109375	2.03125
0.003996	1.85546875	1.9580078125
0.004496	1.787109375	1.884765625
0.004996	1.728515625	1.8310546875
0.005496	1.6650390625	1.7578125
0.005996	1.62109375	1.708984375
0.006496	1.572265625	1.6455078125
0.006996	1.5380859375	1.6015625
0.007496	1.4990234375	1.5625
0.007996	1.474609375	1.5234375
0.008496	1.4501953125	1.4892578125
0.008996	1.4453125	1.4697265625
0.009496	1.4404296875	1.4453125
0.009996	1.4306640625	1.4404296875
0.010496	1.4501953125	1.435546875
0.010996	1.455078125	1.4501953125
0.011496	1.484375	1.4599609375
0.011996	1.50390625	1.474609375
0.012496	1.552734375	1.5087890625
0.012996	1.5966796875	1.533203125
0.013496	1.6357421875	1.572265625
0.014004	1.6943359375	1.6259765625
0.014504	1.7529296875	1.6748046875
0.014996	1.826171875	1.7236328125
0.015504	1.8994140625	1.77734375
0.015996	1.9677734375	1.845703125
0.016496	2.0458984375	1.9140625
0.017	2.1240234375	1.9970703125
0.017504	2.20703125	2.0703125
0.017996	2.2802734375	2.1435546875
0.018496	2.373046875	2.2265625
0.019	2.4609375	2.3095703125
0.019504	2.548828125	2.3974609375
0.019996	2.6220703125	2.4755859375
0.020504	2.71484375	2.55859375
0.020996	2.7880859375	2.63671875
0.021496	2.8662109375	2.71484375
0.022	2.9345703125	2.79296875
0.022504	3.0078125	2.87109375
0.022996	3.0712890625	2.9345703125
0.023496	3.1298828125	3.0029296875
0.024	3.1884765625	3.0712890625
0.024504	3.232421875	3.125
0.024996	3.2763671875	3.1689453125
0.0255	3.3203125	3.2177734375
0.026	3.3447265625	3.2568359375
0.0265	3.3642578125	3.291015625
0.027	3.3740234375	3.3203125
0.0275	3.3837890625	3.3447265625
0.028	3.388671875	3.3447265625
0.0285	3.3837890625	3.359375
0.029	3.37890625	3.3642578125
0.0295	3.3544921875	3.3447265625
0.03	3.3251953125	3.3349609375
0.0305	3.2958984375	3.3056640625
0.031	3.251953125	3.2763671875
0.0315	3.203125	3.251953125
0.032	3.1494140625	3.2080078125
0.0325	3.0908203125	3.1494140625
0.033	3.0322265625	3.1005859375
0.0335	2.9638671875	3.0322265625
0.034	2.8857421875	2.9833984375
0.0345	2.8125	2.9052734375
0.035	2.7294921875	2.8369140625
0.035508	2.65625	2.763671875
0.035996	2.568359375	2.685546875
0.036496	2.48046875	2.607421875
0.037	2.392578125	2.51953125
0.037504	2.3046875	2.44140625
0.037996	2.2216796875	2.3583984375
0.038496	2.1435546875	2.265625
0.039	2.05078125	2.177734375
0.039504	1.9775390625	2.109375
0.039996	1.9091796875	2.0263671875
0.040496	1.8408203125	1.943359375
0.041	1.7724609375	1.8798828125
0.041504	1.708984375	1.8115234375
0.041996	1.650390625	1.7431640625
0.042496	1.6015625	1.6845703125
0.043	1.5478515625	1.6357421875
0.043504	1.5185546875	1.58203125
0.043996	1.4794921875	1.552734375
0.044496	1.4501953125	1.5087890625
0.045	1.4404296875	1.484375
0.045504	1.4404296875	1.4599609375
0.045996	1.4404296875	1.4501953125
0.046496	1.4404296875	1.435546875
0.046996	1.4501953125	1.4453125
0.047496	1.4794921875	1.455078125
0.047996	1.4990234375	1.4697265625
0.048496	1.54296875	1.494140625
0.048996	1.58203125	1.533203125
0.049496	1.6357421875	1.5576171875
0.049996	1.6845703125	1.611328125
0.050496	1.7529296875	1.6650390625
0.050996	1.8212890625	1.7138671875
0.051496	1.8896484375	1.77734375
0.051996	1.962890625	1.8408203125
0.052496	2.0458984375	1.9140625
0.052996	2.1240234375	1.982421875
0.053496	2.20703125	2.0703125
0.053996	2.2900390625	2.1435546875
0.054496	2.3779296875	2.236328125
0.054996	2.4658203125	2.314453125
0.055496	2.55859375	2.3974609375
0.055996	2.646484375	2.4755859375
0.056496	2.724609375	2.5634765625
0.057	2.8076171875	2.65625
0.057504	2.8857421875	2.7294921875
0.057996	2.958984375	2.8125
0.058496	3.017578125	2.890625
0.059	3.095703125	2.9541015625
0.059504	3.1494140625	3.02734375
0.059996	3.2080078125	3.0859375
0.060496	3.251953125	3.14453125
0.061	3.291015625	3.193359375
