Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0.0765	1.4404296875	1.4208984375
0.077	1.435546875	1.42578125
0.0775	1.435546875	1.4208984375
0.078	1.4306640625	1.42578125
0.078504	1.435546875	1.4208984375
0.078996	1.4404296875	1.416015625
0.079496	1.42578125	1.42578125
0.08	1.4404296875	1.416015625
0.080504	1.4306640625	1.4306640625
0.080996	1.4404296875	1.4208984375
0.081496	1.42578125	1.42578125
0.082	1.4404296875	1.42578125
0.082504	1.435546875	1.4208984375
0.082996	1.4306640625	1.42578125
0.083496	1.42578125	1.4208984375
0.084	1.4404296875	1.4208984375
0.084504	1.4306640625	1.416015625
0.084996	1.435546875	1.4208984375
0.085496	1.435546875	1.416015625
0.086	1.435546875	1.42578125
0.086504	1.435546875	1.42578125
0.086996	1.4306640625	1.4208984375
0.087496	1.4404296875	1.4111328125
0.088	1.4306640625	1.4208984375
0.088504	1.42578125	1.4208984375
0.088996	1.435546875	1.4208984375
0.089496	1.4306640625	1.416015625
0.089996	3.3935546875	3.2958984375
0.090496	3.3935546875	3.056640625
0.090996	3.3837890625	2.8857421875
0.091496	3.37890625	2.7685546875
0.091996	3.3837890625	2.6953125
0.092496	3.37890625	2.6611328125
0.092996	3.3837890625	2.6806640625
0.093496	3.37890625	2.7294921875
0.093996	3.3837890625	2.8076171875
0.094496	3.388671875	2.8955078125
0.094996	3.3935546875	2.998046875
0.095496	3.3935546875	3.1103515625
0.095996	3.388671875	3.212890625
0.096496	3.3984375	3.3056640625
0.096996	3.3984375	3.388671875
0.097496	3.4033203125	3.4619140625
0.097996	3.3935546875	3.5205078125
0.098496	3.4033203125	3.5595703125
0.099004	3.4033203125	3.5888671875
0.099504	3.4033203125	3.59375
0.099996	3.408203125	3.5888671875
0.100504	3.4033203125	3.5791015625
0.100996	3.3935546875	3.5595703125
0.101496	3.4033203125	3.525390625
0.102	3.4033203125	3.49609375
0.102504	3.388671875	3.45703125
0.102996	3.3984375	3.427734375
0.103496	3.3935546875	3.4033203125
0.104	3.3935546875	3.369140625
0.104504	3.3984375	3.3544921875
0.104996	3.408203125	3.33984375
0.105504	3.3935546875	3.3251953125
0.105996	3.388671875	3.3251953125
0.106496	3.3984375	3.3154296875
0.107	3.388671875	3.3203125
0.107504	3.3935546875	3.3203125
0.107996	3.388671875	3.3349609375
0.108496	3.3984375	3.3349609375
0.109	3.4033203125	3.349609375
0.109504	3.388671875	3.3642578125
0.109996	3.3935546875	3.3642578125
0.1105	3.3984375	3.37890625
0.111	3.3984375	3.388671875
0.1115	3.3984375	3.388671875
0.112	3.4033203125	3.3984375
0.1125	3.3984375	3.3984375
0.113	3.3935546875	3.4033203125
0.1135	3.388671875	3.3935546875
0.114	3.3984375	3.3984375
0.1145	3.3984375	3.3935546875
0.115	3.3984375	3.3935546875
0.1155	3.4033203125	3.388671875
0.116	3.3984375	3.388671875
0.1165	3.3984375	3.3935546875
0.117	3.3984375	3.388671875
0.1175	3.3984375	3.3837890625
0.118	3.388671875	3.37890625
0.1185	3.3984375	3.37890625
0.119	3.388671875	3.37890625
0.1195	3.3984375	3.3837890625
0.12	3.3984375	3.37890625
0.120508	3.3935546875	3.37890625
0.120996	3.4033203125	3.369140625
0.121496	3.3984375	3.3837890625
0.122	3.3740234375	3.37890625
0.122504	3.3984375	3.37890625
0.122996	3.3984375	3.3740234375
0.123496	3.388671875	3.3837890625
0.124	3.388671875	3.37890625
0.124504	3.4033203125	3.3837890625
0.124996	3.3984375	3.388671875
0.125496	3.3984375	3.388671875
0.126	3.3984375	3.3837890625
0.126504	3.4033203125	3.388671875
0.126996	3.3984375	3.388671875
0.127496	3.4033203125	3.37890625
0.128	3.3984375	3.37890625
0.128504	3.388671875	3.388671875
0.128996	3.4033203125	3.3740234375
0.129496	3.3984375	3.3837890625
0.13	3.3984375	3.37890625
0.130504	3.4033203125	3.3837890625
0.130996	3.3984375	3.388671875
0.131496	3.3984375	3.3837890625
0.131996	3.388671875	3.3837890625
0.132496	3.3984375	3.3740234375
0.132996	3.3984375	3.37890625
0.133496	3.388671875	3.3837890625
0.133996	3.3984375	3.3837890625
0.134496	3.3935546875	3.37890625
0.134996	3.3984375	3.388671875
0.135496	3.3984375	3.3837890625
0.135996	3.4033203125	3.37890625
0.136496	3.388671875	3.3837890625
0.136996	3.3984375	3.3837890625
0.137496	3.388671875	3.388671875
0.137996	3.3984375	3.3837890625
0.138496	3.3935546875	3.388671875
0.138996	3.3984375	3.3837890625
0.139496	3.3984375	3.3837890625
0.139996	1.4404296875	1.5185546875
0.140496	1.4453125	1.748046875
0.140996	1.4404296875	1.9287109375
0.141496	1.4501953125	2.041015625
0.142004	1.4501953125	2.119140625
0.142504	1.4501953125	2.138671875
0.142996	1.455078125	2.1240234375
0.143504	1.4501953125	2.0751953125
0.143996	1.4453125	2.001953125
0.144496	1.4404296875	1.904296875
0.145	1.4404296875	1.796875
0.145504	1.4404296875	1.6943359375
0.145996	1.4404296875	1.5869140625
0.146496	1.4404296875	1.494140625
0.147	1.435546875	1.4111328125
0.147504	1.4208984375	1.34765625
0.147996	1.42578125	1.26953125
0.148504	1.42578125	1.2451171875
0.148996	1.42578125	1.2255859375
0.149496	1.4306640625	1.2109375
0.15	1.4306640625	1.2109375
0.150504	1.42578125	1.23046875
0.150996	1.4306640625	1.25
0.151496	1.4306640625	1.2744140625
0.152	1.4404296875	1.3134765625
0.152504	1.4306640625	1.3427734375
0.152996	1.4306640625	1.3720703125
0.1535	1.435546875	1.4111328125
0.154	1.435546875	1.435546875
0.1545	1.4306640625	1.455078125
0.155	1.435546875	1.4697265625
0.1555	1.435546875	1.474609375
0.156	1.4306640625	1.4892578125
0.1565	1.4306640625	1.484375
0.157	1.435546875	1.484375
0.1575	1.4404296875	1.484375
0.158	1.4306640625	1.4794921875
0.1585	1.435546875	1.46484375
0.159	1.4306640625	1.4599609375
0.1595	1.4404296875	1.4453125
0.16	1.435546875	1.4453125
0.1605	1.4306640625	1.42578125
0.161	1.435546875	1.416015625
0.1615	1.4404296875	1.40625
0.162	1.4306640625	1.4111328125
0.1625	1.4306640625	1.4111328125
0.163	1.4404296875	1.396484375
0.163508	1.435546875	1.4111328125
0.163996	1.4404296875	1.40625
0.164496	1.4306640625	1.4013671875
