Omega, U_Rv(V), U(V), Delta phi(deg)
150, 5.28, 0.23, 84
160, 5.28, 0.25, 83
170, 5.28, 0.26, 82
190, 5.28, 0.29, 82
210, 5.28, 0.32, 82
230, 5.28, 0.35, 82
250, 5.24, 0.37, 81
270, 5.24, 0.40, 81
290, 5.24, 0.43, 81
310, 5.24, 0.46, 81
330, 5.24, 0.48, 80
350, 5.20, 0.51, 79
