U(V), I(mA)
80.0, 52.0
72.0, 46.0
64.0, 40.1
56.0, 34.5
48.0, 29.0
40.0, 23.7
36.0, 21.1
32.0, 18.5
28.0, 16.0
24.0, 13.6
20.0, 11.2
16.0, 8.87
12.0, 6.58
8.00, 4.28
4.00, 2.12
0.00, 0.00
