U(V), I(mA)
0.00, 0.02
4.00, 5.84
8.00, 9.00
12.00, 11.57
16.00, 13.83
20.0, 15.94
24.0, 17.83
28.0, 19.63
32.0, 21.3
36.0, 22.9
40.0, 24.4
48.0, 27.3
56.0, 30.1
64.0, 32.6
72.0, 35.1
80.0, 37.4
