U_CE(V), I_CE(mA)
0.0, 0.0
0.1, 1.1
0.199, 3.3
1.000, 3.6
3.01, 3.70
5.00, 3.76
10.0, 3.91
15.0, 4.04
20.0, 4.18
25.0, 4.33
30.0, 4.49
35.0, 4.65
40.0, 4.86
