U_CE(V), I_CE(mA)
0.00, 0.02
0.100, 2.24
0.207, 6.21
1.00, 7.35
3.00, 7.57
5.00, 7.88
10.00, 8.24
15.0, 8.74
20.0, 9.17
25.0, 9.70
30.0, 10.2
35.0, 10.9
40.0, 11.3
