U_CE(V), I_CE(mA)
0.003, -0.01
0.103, 3.41
0.202, 8.47
1.00, 11.14
3.00, 11.53
5.00, 11.90
10.00, 12.75
15.00, 13.9
20.0, 14.8
25.0, 15.9
30.0, 17.1
