Ring, T1, T2, T3, T4, T5
0, 7.08, 7.14, 7.07, 7.01, 7.01
1, 7.48, 7.36, 7.41, 7.41, 7.4
2, 8.14, 8.31, 8.25, 8.12, 8.25
3, 9.68, 9.49, 9.68, 9.49, 9.62
4, 11.33, 11.31, 11.38, 11.33, 11.45
5, 13.49, 13.42, 13.73, 13.82, 13.45
