Ring, T1, T2, T3, T4, T5
0, 6.87, 6.95, 6.95, 6.94, 7.02
1, 7.33, 7.27, 7.28, 7.47, 7.4
2, 8.12, 8.18, 8.19, 8.3, 8.12
3, 9.42, 9.53, 9.49, 9.5, 9.43
4, 11.13, 11.33, 11.32, 11.38, 11.27
5, 13.54, 13.42, 13.53, 13.59, 13.41
