Baseline,,Sample,,Sample2,,Sample3,,Sample4,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
560.0552979,0.0001019768024,560.0552979,0.007089579478,560.0552979,0.005219984334,560.0552979,0.004551481921,560.0552979,0.003938598093,
559.0081177,7.090745203E-5,559.0081177,0.007098157424,559.0081177,0.005433794111,559.0081177,0.004710634239,559.0081177,0.004010726232,
557.9606934,2.029507414E-5,557.9606934,0.006962905638,557.9606934,0.00521898875,557.9606934,0.004619918298,557.9606934,0.003864470636,
557.0626831,0.0002283483773,557.0626831,0.00719628809,557.0626831,0.005276970565,557.0626831,0.004687763751,557.0626831,0.004015010782,
556.0147095,5.187857823E-5,556.0147095,0.006816468202,556.0147095,0.005193471443,556.0147095,0.004611546174,556.0147095,0.003835768672,
554.9665527,-8.076346603E-6,554.9665527,0.006814311724,554.9665527,0.005047838669,554.9665527,0.004428187385,554.9665527,0.003707742551,
554.0678711,-1.123436505E-5,554.0678711,0.007016754244,554.0678711,0.005463047884,554.0678711,0.004610630684,554.0678711,0.003897353541,
553.0192261,0.0001176676669,553.0192261,0.007122339215,553.0192261,0.005387978163,553.0192261,0.004730889108,553.0192261,0.003932877444,
551.9702759,0.0001270151261,551.9702759,0.007260036189,551.9702759,0.005353934132,551.9702759,0.004626694601,551.9702759,0.003807094647,
551.0709839,0.0001122560643,551.0709839,0.007173181046,551.0709839,0.005390311126,551.0709839,0.0047615082,551.0709839,0.003934966866,
550.0215454,2.164120815E-5,550.0215454,0.007150812075,550.0215454,0.005385304801,550.0215454,0.00478885835,550.0215454,0.00397885358,
548.9718628,-0.0002132997615,548.9718628,0.007365864702,548.9718628,0.005418486893,548.9718628,0.004767920356,548.9718628,0.003978618421,
548.0718994,-4.390038157E-5,548.0718994,0.007693201769,548.0718994,0.005616792012,548.0718994,0.004868928809,548.0718994,0.004190092906,
547.0217285,1.405630792E-5,547.0217285,0.007750144694,547.0217285,0.005877893418,547.0217285,0.004949485417,547.0217285,0.004200286698,
545.9713135,7.460977213E-5,545.9713135,0.008175807074,545.9713135,0.006085753441,545.9713135,0.005273852497,545.9713135,0.004518653732,
545.0707397,4.685385647E-6,545.0707397,0.00831375923,545.0707397,0.006307685748,545.0707397,0.005489812698,545.0707397,0.004686272237,
544.0198364,6.72569513E-5,544.0198364,0.00893977657,544.0198364,0.006642164197,544.0198364,0.005765422713,544.0198364,0.004904636648,
542.968689,0.0001361556497,542.968689,0.009450251237,542.968689,0.006988816429,542.968689,0.006051943172,542.968689,0.005222682841,
542.0675049,0.0001089159268,542.0675049,0.01000640914,542.0675049,0.007467163261,542.0675049,0.006390217226,542.0675049,0.005530474707,
541.0158691,-8.158490527E-5,541.0158691,0.01055954024,541.0158691,0.007920966484,541.0158691,0.00667002704,541.0158691,0.005756241269,
539.9639893,5.024757047E-5,539.9639893,0.01150986645,539.9639893,0.008535618894,539.9639893,0.007315553259,539.9639893,0.006333452184,
539.0621338,0.0001107801872,539.0621338,0.0124627836,539.0621338,0.009347933345,539.0621338,0.007976673543,539.0621338,0.006836663466,
538.0097656,5.990426143E-5,538.0097656,0.01396248676,538.0097656,0.01033364888,538.0097656,0.008807542734,538.0097656,0.007626729086,
536.9571533,-7.231937343E-5,536.9571533,0.01560445502,536.9571533,0.01153916027,536.9571533,0.0099249091,536.9571533,0.008607696742,
536.0546875,-6.238070637E-5,536.0546875,0.01744959503,536.0546875,0.01301310584,536.0546875,0.01106284186,536.0546875,0.009469219483,
535.0016479,8.517318929E-5,535.0016479,0.02023940906,535.0016479,0.01497827657,535.0016479,0.01279382594,535.0016479,0.01120033301,
533.9483032,-2.526397111E-5,533.9483032,0.02286192589,533.9483032,0.01688323729,533.9483032,0.01444804575,533.9483032,0.01250879187,
533.0452271,9.436460823E-5,533.0452271,0.02546655759,533.0452271,0.01880953833,533.0452271,0.01606268249,533.0452271,0.01392057352,
531.991394,-5.798417988E-6,531.991394,0.03053416125,531.991394,0.02259687707,531.991394,0.01923114061,531.991394,0.01677285694,
530.9373779,0.0001051356448,530.9373779,0.03743917495,530.9373779,0.02762939408,530.9373779,0.02353975363,530.9373779,0.0205575712,
530.0336914,-6.782070614E-6,530.0336914,0.04403840005,530.0336914,0.03243161738,530.0336914,0.02759789117,530.0336914,0.02407475188,
528.979126,3.896013004E-5,528.979126,0.05207992718,528.979126,0.03834519163,528.979126,0.03268847615,528.979126,0.02856693231,
528.0750732,-5.694909078E-7,528.0750732,0.05951303244,528.0750732,0.043830432,528.0750732,0.03735614195,528.0750732,0.03264234588,
527.0200806,8.328314289E-5,527.0200806,0.07432571054,527.0200806,0.05453483388,527.0200806,0.04652927443,527.0200806,0.04064691067,
525.9648438,-5.358065027E-5,525.9648438,0.09384728968,525.9648438,0.06860847026,525.9648438,0.05868366733,525.9648438,0.05132786557,
525.0601807,3.028668743E-6,525.0601807,0.115080744,525.0601807,0.08449713141,525.0601807,0.07228859514,525.0601807,0.06297721714,
524.0044556,-2.521220085E-5,524.0044556,0.1444575489,524.0044556,0.1063227877,524.0044556,0.09083892405,524.0044556,0.07940170914,
522.9485474,-7.123234536E-5,522.9485474,0.1851994991,522.9485474,0.1362257004,522.9485474,0.1166491136,522.9485474,0.1017978862,
522.0432129,-8.024576346E-6,522.0432129,0.2203454673,522.0432129,0.1620217711,522.0432129,0.1385045052,522.0432129,0.1207922623,
520.9868164,-0.0002660779865,520.9868164,0.2792056799,520.9868164,0.2056659907,520.9868164,0.1762887686,520.9868164,0.1536701024,
519.9301758,-0.0002076593519,519.9301758,0.359251529,519.9301758,0.2642657757,519.9301758,0.226115182,519.9301758,0.1971488297,
519.024292,-7.248010661E-6,519.024292,0.4371555448,519.024292,0.3228836656,519.024292,0.2755273283,519.024292,0.240824908,
517.9671631,-9.281716484E-5,517.9671631,0.5399246812,517.9671631,0.398557961,517.9671631,0.3409384191,517.9671631,0.2976802588,
517.0609131,-2.987138032E-5,517.0609131,0.632114172,517.0609131,0.4653619528,517.0609131,0.3973477483,517.0609131,0.3489152193,
516.0033569,9.177545144E-5,516.0033569,0.757053256,516.0033569,0.5594710112,516.0033569,0.4792604744,516.0033569,0.4200142622,
514.9455566,-8.179888937E-6,514.9455566,0.8916965127,514.9455566,0.6581408381,514.9455566,0.5636321306,514.9455566,0.4939213991,
514.0386353,3.63971958E-5,514.0386353,1.029431701,514.0386353,0.7624863982,514.0386353,0.6517844796,514.0386353,0.5714917183,
512.9804077,-0.0002076593519,512.9804077,1.168372035,512.9804077,0.8679155707,512.9804077,0.7432394028,512.9804077,0.6504006386,
512.0731201,5.993015293E-5,512.0731201,1.285308957,512.0731201,0.9530258179,512.0731201,0.818643868,512.0731201,0.7161451578,
511.0144348,-0.0001534766634,511.0144348,1.391599059,511.0144348,1.036137223,511.0144348,0.8881678581,511.0144348,0.7777274847,
509.9554749,-6.134541036E-5,509.9554749,1.480706811,509.9554749,1.102929592,509.9554749,0.9465922117,509.9554749,0.8283373713,
509.0476379,-2.868070624E-5,509.0476379,1.539694905,509.0476379,1.152202129,509.0476379,0.9881241322,509.0476379,0.8650231361,
507.9882507,5.172324381E-5,507.9882507,1.588806272,507.9882507,1.186808825,507.9882507,1.019280672,507.9882507,0.8924353123,
506.9286194,-1.496183177E-5,506.9286194,1.601821065,506.9286194,1.198434353,506.9286194,1.028252244,506.9286194,0.8998060822,
506.0201721,-4.038023326E-5,506.0201721,1.593094587,506.0201721,1.191779375,506.0201721,1.022591352,506.0201721,0.8954303861,
504.960083,-0.0001119165026,504.960083,1.568321705,504.960083,1.173357129,504.960083,1.005300045,504.960083,0.8806306124,
504.0512695,-7.055941387E-5,504.0512695,1.537415862,504.0512695,1.147066236,504.0512695,0.983727932,504.0512695,0.8612155914,
502.9907532,-2.645465429E-5,502.9907532,1.475107789,502.9907532,1.099958777,502.9907532,0.9430425167,502.9907532,0.8248018026,
501.9299927,0.0001819647005,501.9299927,1.400927544,501.9299927,1.043710709,501.9299927,0.8945201635,501.9299927,0.7827787995,
501.0205994,5.995604079E-5,501.0205994,1.344609976,501.0205994,0.9970938563,501.0205994,0.8551567197,501.0205994,0.748292923,
499.9593811,-8.852098836E-5,499.9593811,1.270247102,499.9593811,0.9431285262,499.9593811,0.8080111742,499.9593811,0.7061903477,
