nu(kHz), s_1(mm), s_2(mm), N
1, 280, 105, 1
1.5, 373, 27, 3
2, 318, 59, 3
2.5, 353, 10, 5
3, 333, 45, 5
3.5, 372, 35, 7
4, 328, 25, 7
