Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0.332	2.8515625	0.6298828125
0.333996	2.861328125	0.625
0.336004	2.8564453125	0.6201171875
0.338	2.8564453125	0.615234375
0.34	2.8564453125	0.615234375
0.342	2.861328125	0.6201171875
0.344	2.8564453125	0.615234375
0.346	2.8564453125	0.615234375
0.347996	2.8515625	0.60546875
0.35	2.8564453125	0.6201171875
0.351996	2.861328125	0.6103515625
0.354	2.861328125	0.6005859375
0.355996	2.861328125	0.6005859375
0.358	2.861328125	0.6103515625
0.359996	2.8564453125	0.6005859375
0.362	2.8515625	0.6005859375
0.363996	2.8564453125	0.6005859375
0.366	2.8564453125	0.595703125
0.367996	2.861328125	0.6005859375
0.37	2.861328125	0.5908203125
0.371996	2.8564453125	0.5908203125
0.374	2.861328125	0.5908203125
0.375996	2.8515625	0.5908203125
0.378004	2.8564453125	0.5810546875
0.38	2.8564453125	0.5859375
0.382	2.8564453125	0.5908203125
0.384	2.8564453125	0.5908203125
0.386	2.8564453125	0.576171875
0.388	2.8515625	0.5810546875
0.39	2.861328125	0.5810546875
0.391996	2.861328125	0.56640625
0.394	2.861328125	0.5859375
0.395996	2.8515625	0.576171875
0.398	2.8515625	0.5859375
0.399996	2.8564453125	0.5712890625
0.402	2.861328125	0.56640625
0.403996	2.8564453125	0.576171875
0.406	2.8515625	0.576171875
0.407996	2.861328125	0.576171875
0.41	2.8564453125	0.5712890625
0.411996	2.8564453125	0.5712890625
0.414	2.8564453125	0.5712890625
0.415996	2.861328125	0.5712890625
0.418	2.8564453125	0.5615234375
0.420008	2.8515625	0.56640625
0.422	2.8564453125	0.556640625
0.424	2.8515625	0.556640625
0.426	2.8466796875	0.556640625
0.428	2.8515625	0.556640625
0.43	2.8515625	0.556640625
0.432	2.861328125	0.5615234375
0.433996	2.861328125	0.5615234375
0.436	2.8564453125	0.5517578125
0.437996	2.8515625	0.5517578125
0.44	2.861328125	0.5517578125
0.441996	2.861328125	0.5517578125
0.444	2.8515625	0.546875
0.445996	2.8564453125	0.556640625
0.448	2.8515625	0.5419921875
0.449996	2.8564453125	0.556640625
0.452	2.861328125	0.556640625
0.453996	2.8564453125	0.546875
0.456	2.8515625	0.5322265625
0.457996	2.8515625	0.556640625
0.46	2.861328125	0.556640625
0.461996	2.861328125	0.546875
0.464004	2.861328125	0.537109375
0.466	2.861328125	0.556640625
0.468	2.8515625	0.5419921875
0.47	2.8564453125	0.546875
0.472	0.0	0.5517578125
0.474	0.0	0.5419921875
0.475996	0.0	0.5419921875
0.478	0.0	0.5029296875
0.479996	0.0	0.5126953125
0.482	0.0	0.537109375
0.483996	0.0	0.5322265625
0.486	0.0	0.5419921875
0.487996	0.0	0.537109375
0.49	0.0	0.52734375
0.491996	0.0	0.5224609375
0.494	0.0	0.5419921875
0.495996	0.0	0.5322265625
0.498	0.0	0.5419921875
0.499996	0.0	0.537109375
0.502	0.0	0.5322265625
0.503996	0.0	0.537109375
0.506004	0.0	0.537109375
0.508	0.0	0.5322265625
0.51	0.0	0.52734375
0.512	0.0	0.5322265625
0.514	0.0	0.52734375
0.516	0.0	0.52734375
0.518	0.0	0.5322265625
0.519996	0.0	0.5322265625
0.522	0.0	0.5322265625
0.523996	0.0	0.5322265625
0.526	0.0	0.5322265625
0.527996	0.0	0.5224609375
0.53	0.0	0.52734375
0.531996	0.0	0.52734375
0.534	0.0	0.52734375
0.535996	0.0	0.5322265625
0.538	0.0	0.517578125
0.539996	0.0	0.537109375
0.542	0.0	0.52734375
0.543996	0.0	0.5322265625
0.546	0.0	0.5224609375
0.548008	0.0	0.52734375
0.55	0.13671875	0.5224609375
0.552	0.390625	0.5322265625
0.554	0.6591796875	0.52734375
0.556	0.9130859375	0.517578125
0.558	1.171875	0.5078125
0.56	1.4306640625	0.5224609375
0.561996	1.669921875	0.52734375
0.564	1.9189453125	0.5322265625
0.565996	2.138671875	0.52734375
0.568	2.3193359375	0.52734375
0.569996	2.4609375	0.52734375
0.572	2.5732421875	0.537109375
0.573996	2.6513671875	0.52734375
0.576	2.7099609375	0.537109375
0.577996	2.7587890625	0.537109375
0.58	2.7880859375	0.52734375
0.581996	2.8076171875	0.517578125
0.584	2.822265625	0.5322265625
0.585996	2.8369140625	0.5322265625
0.588	2.841796875	0.5322265625
0.589996	2.8515625	0.52734375
0.592004	2.8466796875	0.5322265625
0.594	2.841796875	0.537109375
0.596	2.8564453125	0.52734375
0.598	2.8564453125	0.5322265625
0.6	2.8466796875	0.5322265625
0.602	2.8564453125	0.52734375
