Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	0.0	0.9765625
0.001996	0.0	0.986328125
0.004	0.0	0.9912109375
0.005996	0.0	0.986328125
0.008	0.0	0.9912109375
0.009996	0.0	0.9814453125
0.012	0.0	0.986328125
0.013996	0.0	0.99609375
0.016	0.0	0.986328125
0.017996	0.0	0.986328125
0.020004	0.0	0.986328125
0.022	0.0	0.986328125
0.024	0.0	0.9765625
0.026	0.0	0.986328125
0.028	0.0	0.9814453125
0.03	0.0	0.986328125
0.031996	0.0	0.99609375
0.034	0.0	0.99609375
0.035996	0.0048828125	1.0009765625
0.038	0.1806640625	0.99609375
0.039996	0.44921875	0.986328125
0.042	0.703125	0.99609375
0.043996	0.9521484375	0.99609375
0.046	1.2158203125	1.005859375
0.047996	1.4794921875	0.99609375
0.05	1.7333984375	1.0107421875
0.051996	1.9677734375	1.005859375
0.054	2.177734375	1.015625
0.055996	2.3486328125	1.0302734375
0.058	2.48046875	1.0205078125
0.059996	2.5927734375	1.03515625
0.062004	2.666015625	1.0302734375
0.064	2.7294921875	1.0302734375
0.066	2.7685546875	1.044921875
0.068	2.7978515625	1.0302734375
0.07	2.8173828125	1.0595703125
0.072	2.822265625	1.0546875
0.074	2.83203125	1.0546875
0.075996	2.841796875	1.0498046875
0.078	2.8369140625	1.0595703125
0.079996	2.8515625	1.064453125
0.082	2.8466796875	1.0693359375
0.083996	2.8515625	1.0546875
0.086	2.861328125	1.0693359375
0.087996	2.8564453125	1.0791015625
0.09	2.8564453125	1.083984375
0.091996	2.8515625	1.07421875
0.094	2.8466796875	1.0791015625
0.095996	2.8564453125	1.0791015625
0.098	2.861328125	1.0888671875
0.099996	2.8564453125	1.083984375
0.102	2.8564453125	1.0791015625
0.104008	2.8564453125	1.09375
0.106	2.8515625	1.083984375
0.108	2.8515625	1.0888671875
0.11	0.0	1.083984375
0.112	0.0	1.09375
0.114	0.0	1.0888671875
0.116	0.0	1.0693359375
0.117996	0.0	1.0888671875
0.12	0.0	1.0888671875
0.121996	0.0	1.0791015625
0.124	0.0	1.07421875
0.125996	0.0	1.083984375
0.128	0.0	1.09375
0.129996	0.0	1.0791015625
0.132	0.0	1.09375
0.133996	0.1123046875	1.0791015625
0.136	0.3662109375	1.0791015625
0.137996	0.6298828125	1.083984375
0.14	0.888671875	1.083984375
0.141996	1.142578125	1.083984375
0.144	1.40625	1.0791015625
0.145996	1.66015625	1.064453125
0.148004	1.8994140625	1.0693359375
0.15	2.109375	1.0791015625
0.152	2.294921875	1.0693359375
0.154	2.451171875	1.07421875
0.156	2.55859375	1.064453125
0.158	2.6513671875	1.0791015625
0.159996	0.0	1.0693359375
0.162	0.0	1.07421875
0.163996	0.0	1.0693359375
0.166	0.0	1.0693359375
0.167996	0.0	1.0498046875
0.17	0.0	1.0693359375
0.171996	0.0	1.07421875
0.174	0.0	1.07421875
0.175996	0.0	1.07421875
0.178	0.0	1.0595703125
0.179996	0.0	1.0791015625
0.182	0.0	1.0693359375
0.183996	0.0	1.0693359375
0.186	0.0	1.083984375
0.187996	0.0	1.0693359375
0.190004	0.0	1.0888671875
0.192	0.0	1.0791015625
0.194	0.0	1.0791015625
0.196	0.0	1.07421875
0.198	0.2490234375	1.083984375
0.2	0.5126953125	1.0791015625
0.202	0.771484375	1.09375
0.203996	1.025390625	1.0888671875
0.206	1.2939453125	1.09375
0.207996	1.54296875	1.0888671875
0.21	1.796875	1.0693359375
0.211996	2.0166015625	1.0791015625
0.214	2.2265625	1.07421875
0.215996	2.3779296875	1.083984375
0.218	2.509765625	1.09375
0.219996	2.607421875	1.0888671875
0.222	2.67578125	1.083984375
0.223996	2.7392578125	1.0791015625
0.226	2.7734375	1.0791015625
0.227996	2.79296875	1.0791015625
0.23	2.8125	1.083984375
0.232008	2.822265625	1.0693359375
0.234	2.841796875	1.064453125
0.236	2.8466796875	1.0693359375
0.238	2.8466796875	1.064453125
0.24	2.8466796875	1.064453125
0.242	2.8564453125	1.0546875
0.244	2.8564453125	1.044921875
0.245996	2.8564453125	1.0498046875
0.248	2.8515625	1.0498046875
0.249996	2.8564453125	1.0595703125
0.252	2.8466796875	1.044921875
0.253996	2.8564453125	1.03515625
0.256	2.8564453125	1.0400390625
0.257996	2.8564453125	1.0205078125
0.26	2.8466796875	1.0302734375
0.261996	2.8515625	1.0302734375
0.264	2.8564453125	1.0205078125
0.265996	2.8515625	1.015625
0.268	2.8466796875	1.0009765625
0.269996	2.861328125	0.99609375
0.272	2.8564453125	1.005859375
0.273996	2.8515625	0.9912109375
0.276004	2.8466796875	0.986328125
0.278	2.861328125	0.9814453125
0.28	2.861328125	0.9814453125
0.282	2.861328125	0.9765625
0.284	2.8515625	0.9716796875
0.286	0.0	0.9765625
0.287996	0.0	0.9619140625
0.29	0.0	0.9619140625
0.291996	0.0	0.966796875
0.294	0.0	0.9619140625
0.295996	0.0	0.947265625
0.298	0.0	0.947265625
0.299996	0.0	0.9521484375
0.302	0.0	0.947265625
0.303996	0.0	0.9375
0.306	0.0	0.947265625
0.307996	0.0	0.947265625
0.31	0.0	0.9423828125
0.311996	0.0439453125	0.9375
0.314	0.3125	0.9521484375
0.315996	0.56640625	0.9375
