L(mm), T(s)
710, 85.400
715, 85.617
720, 85.753
725, 85.942
730, 86.099
735, 86.253
740, 86.495
745, 86.657
750, 86.851
755, 87.056
760, 87.243
765, 87.435
770, 87.623
775, 87.833
